Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	late phase: up-regulated	1	Man2b1	mannosidase 2, alpha B1	8.23e-07	0.0043	0.2267	0.0432
		2	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	6.05e-06	0.0156	0.2357	0.0494
		3	Twsg1	twisted gastrulation BMP signaling modulator 1	2.76e-05	0.0261	0.1543	0.0352
		4	Sqle	squalene epoxidase	9.89e-06	0.0156	0.2658	0.0572
		5	Cd68	CD68 antigen	2.27e-05	0.0236	0.3888	0.0875
		6	Wdr82	WD repeat domain containing 82	6.73e-06	0.0156	0.2589	0.0482
		7	Msmo1	methylsterol monoxygenase 1	7.79e-07	0.0043	0.2564	0.0487
		8	Reep1	receptor accessory protein 1	1.87e-04	0.0646	0.1111	0.0287
		9	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	2.87e-04	0.0805	0.2348	0.0626
		10	Slc22a4	solute carrier family 22 (organic cation transporter), member 4	9.37e-05	0.0492	0.2569	0.0631
		11	Kctd6	potassium channel tetramerisation domain containing 6	4.39e-04	0.1085	0.1311	0.0361
		12	Fdps	farnesyl diphosphate synthetase	5.10e-04	0.1104	0.2172	0.0606
		13	Slc14a1	solute carrier family 14 (urea transporter), member 1	1.33e-04	0.055	0.2236	0.0562
		14	Syap1	synapse associated protein 1	2.45e-04	0.0794	0.1081	0.0284
		15	Trem2	triggering receptor expressed on myeloid cells 2	4.91e-04	0.1104	0.3659	0.1016
		16	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	1.70e-05	0.0221	0.3523	0.078
		17.5	Cpne7	copine VII	1.45e-03	0.1481	0.3292	0.1006
		17.5	Tpst1	protein-tyrosine sulfotransferase 1	6.14e-04	0.1118	0.1167	0.033
		19.5	C1ql2	complement component 1, q subcomponent-like 2	6.63e-04	0.1118	0.371	0.1056
		19.5	Apex1	apurinic/apyrimidinic endonuclease 1	4.24e-04	0.1073	0.1485	0.0408
