# updated 2016-05-11 Huntiongton's # 2016-10-13 add GSE32417, GSE9803 and GSE9804 combined to GSE9857									
# updated 2016-11-3 GSE62210 change to late 									
# change GSE18551 to 19676									
Dataset		Timepoint	Phase	Order	Extra_phase	Platform	Genotype	mouse_model	Notes
GSE9375	Affy	12_months	early	1		GPL81	Hdh4_Q80	Hdh4_Q80	
GSE64386	Illumina	2_months	early	2		GPL6885	BAC_HD	BACHD-ΔN17	
GSE50379	Affymetrix Mouse Gene 1.0 ST Array	3_months	early	3		GPL6246	HdhQ111	HdhQ111	
GSE7958	Affy	3_months	early	4		GPL1261	HdhQ92_Q92	HdhQ92_Q92	
GSE9038	Affy	3-10_weeks	early	5		GPL1261	HdhQ111	HdhQ111	
GSE32417	Affymetrix Mouse Gene 1.0 ST Array	6_months	early	6		GPL6246	HdhQ150	HdhQ150	
GSE64386	Illumina	7_months	early	7		GPL6885	BAC_HD	BACHD-ΔN17	
GSE62210	Affymetrix Mouse Gene 1.0 ST Array	8_weeks	late	8		GPL6246	R62	R62	
GSE48104	Affy	10-12_weeks	late	9		GPL1261	R62	R62	
GSE64386	Illumina	11_months	late	10		GPL6885	BAC_HD	BACHD-ΔN17	
GSE19676	Illumina	12_months	late	11		GPL6333	YAC128	YAC128	not using GSE18551
GSE32417	Affymetrix Mouse Gene 1.0 ST Array	12_months	late	12		GPL6246	HdhQ150	HdhQ150	
GSE9857	Affy	12_weeks	late	13		GPL1261	R62	R62	
GSE25232	Illumina	14_months	late	14		GPL6885	N171_98Q	N171_98Q	
GSE32417	Affymetrix Mouse Gene 1.0 ST Array	18_months	late	15		GPL6246	HdhQ150	HdhQ150	
GSE7958	Affy	18_months	late	16		GPL1261	HdhQ92_Q92	HdhQ92_Q92	
GSE10202	Affy	22_months	late	17		GPL1261	CHL2Q150_Q150	CHL2Q150_Q150	
GSE19676	Illumina	24_months	late	18		GPL6333	YAC128	YAC128	not using GSE18551
GSE26317	Illumina	5_months	late	19		GPL6103	R62_300Q	R62	
