Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset	groups	keyword	disease	significance	brain_cells	plot_title	Study	outlier	Model_types
GSE36237_HippVeh_WT_1	Astrocytes	1.02799087011325	0.519699236055297	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_2	Astrocytes	3.04076605985362	0.612866990869774	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_3	Astrocytes	-2.16678464501938	0.371818805394998	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_4	Astrocytes	2.91802838502571	0.607185683959219	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_5	Astrocytes	9.36078720019192	0.905409438246276	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	GSE36237_HippVeh_WT_5	Amyloid transgenic models
GSE36237_HippVeh_WT_6	Astrocytes	-0.211854057026412	0.462309037304575	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_7	Astrocytes	1.14507351287224	0.525118781670328	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_8	Astrocytes	0.814554938340616	0.509819669444305	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_1	Astrocytes	-0.402986096497754	0.453461877879407	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_2	Astrocytes	-3.1796044828314	0.324937190994395	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_3	Astrocytes	-2.85388957529004	0.340013950087966	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_4	Astrocytes	-1.42415321595962	0.406193882777131	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_5	Astrocytes	0.479158521269536	0.494294770632648	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_6	Astrocytes	-2.50231739038787	0.356287596190878	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_7	Astrocytes	-2.74810021625867	0.344910749847052	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_8	Astrocytes	-3.65954914105894	0.30272141326115	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE48622_WT_rep1	Astrocytes	0.518632551938401	0.496121952739046	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep2	Astrocytes	2.49330511818496	0.587526005426453	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep3	Astrocytes	-0.60749103287698	0.443995711032732	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep4	Astrocytes	0.581466196455308	0.499030409488857	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep1	Astrocytes	-0.225207132479515	0.461690947382673	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep2	Astrocytes	0.314415936572456	0.486669131755143	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep3	Astrocytes	0.718992609920909	0.505396260596118	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep4	Astrocytes	0.879835571266234	0.512841392900332	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep1	Astrocytes	-2.87751961932503	0.338920157716056	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep2	Astrocytes	0.531437085478411	0.496714651639276	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep3	Astrocytes	1.02456200936027	0.51954052023867	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep4	Astrocytes	2.38000472559916	0.582281533390717	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep1	Astrocytes	-2.41853210106331	0.360165867014485	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep2	Astrocytes	-2.74181012492703	0.345201906897246	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep3	Astrocytes	-1.84383223028505	0.386767693649424	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep4	Astrocytes	-2.50639729865655	0.356098744552016	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE48622	NA	KO models
GSE63617_3m_hp_VH_rep1	Astrocytes	-4.13592976489709	0.280670608289808	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep2	Astrocytes	2.58559110176005	0.591797758145963	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep3	Astrocytes	-4.46178529339337	0.265587340104353	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep4	Astrocytes	-5.8429417739622	0.20165608290386	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep5	Astrocytes	-2.38412264268795	0.361758619149724	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep1	Astrocytes	2.72765558451474	0.598373668344281	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep2	Astrocytes	0.078807986082029	0.475763262150071	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep3	Astrocytes	3.91230277643019	0.653208862895877	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep4	Astrocytes	7.06530433469343	0.799155651989509	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep5	Astrocytes	2.47867053306461	0.586848596719681	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep1	Astrocytes	2.07705743184925	0.568258646319338	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep2	Astrocytes	-5.80295704718963	0.203506904217268	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep3	Astrocytes	-4.19866809761278	0.277766563352391	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep4	Astrocytes	-4.5928637833515	0.259519951815726	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep5	Astrocytes	-0.882683697629565	0.431257535976173	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep1	Astrocytes	3.8607618006908	0.650823123537073	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep2	Astrocytes	-1.70608456050882	0.393143786314613	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep3	Astrocytes	-1.62101137729919	0.397081671437086	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep4	Astrocytes	7.71593678083123	0.8292722613978	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	GSE63617_6m_hp_AD11_rep4	Other models
GSE63617_6m_hp_AD11_rep5	Astrocytes	5.5002969477229	0.726714265959247	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE63617	NA	Other models
GSE64398_WT_2m_Hipp_rep1	Astrocytes	-3.31685685034469	0.318584024982926	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep10	Astrocytes	6.28698035306226	0.76312843034227	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep11	Astrocytes	2.42775683953669	0.584491893129788	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep12	Astrocytes	10.6537046701282	0.965256269848921	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	GSE64398_WT_2m_Hipp_rep12	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep2	Astrocytes	2.00160187102327	0.564765943693502	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
