# 2017-01-31
Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset
GSE14499_Hippocampus,GFP,rep1	Astrocyte	1.63888865212016	0.399707885353587	WT	NA	NA	mixed_model
GSE14499_Hippocampus,GFP,rep2	Astrocyte	-0.235895697981322	0.316672817844379	WT	NA	NA	mixed_model
GSE14499_Hippocampus,APP,GFP,rep1	Astrocyte	0.279962962033354	0.339520436909051	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE14499_Hippocampus,APP,GFP,rep2	Astrocyte	3.6188842308693	0.487402806927083	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE14499_Hippocampus,APP,GFP,rep3	Astrocyte	-0.732201363967703	0.294691209944702	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE14499_Hippocampus,APP,GFP,rep4	Astrocyte	-1.95228133060448	0.240653302923112	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE15056_wt_rep1	Astrocyte	0.180198411844413	0.335101818757307	WT	NA	NA	mixed_model
GSE15056_wt_rep2	Astrocyte	-0.169402997924078	0.319617810337955	WT	NA	NA	mixed_model
GSE15056_Tg2576_rep1	Astrocyte	-1.85961981224314	0.244757324504166	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE15056_Tg2576_rep2	Astrocyte	1.809726907926	0.40727439085766	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE1556_12moControl.1	Astrocyte	0.527975048694972	0.350505007138653	WT	NA	NA	mixed_model
GSE1556_12moControl.2	Astrocyte	3.38861216396425	0.477203950391978	WT	NA	NA	mixed_model
GSE1556_12moAPPSw.1	Astrocyte	-0.724704203012712	0.295023262677056	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE1556_12moAPPSw.2	Astrocyte	-4.95022912533543	0.107872806056317	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_eIF2+_S51A1	Astrocyte	-3.77572887571638	0.159891966292757	WT	NA	NA	mixed_model
GSE50521_eIF2+_S51A2	Astrocyte	-4.66509374663845	0.120501584090487	WT	NA	NA	mixed_model
GSE50521_eIF2+_S51A3	Astrocyte	-5.56289590597418	0.0807375104751302	WT	NA	NA	mixed_model
GSE50521_WT1	Astrocyte	-4.4292615768548	0.130946700158246	WT	NA	NA	mixed_model
GSE50521_WT2	Astrocyte	-4.4834237469693	0.128547832548935	WT	NA	NA	mixed_model
GSE50521_WT3	Astrocyte	-5.599631452813	0.0791104760849699	WT	NA	NA	mixed_model
GSE50521_5xFAD1	Astrocyte	3.2392560556088	0.470588899151799	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_5xFAD2	Astrocyte	7.42986942425294	0.656193106884554	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_5xFAD3	Astrocyte	2.21090215014778	0.425042628212055	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_5xFAD;eIF2+_S51A1	Astrocyte	5.12523053448021	0.554119582648945	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_5xFAD;eIF2+_S51A2	Astrocyte	2.58964051870807	0.441817126036313	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE50521_5xFAD;eIF2+_S51A3	Astrocyte	6.67885305329995	0.62293024384688	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE52022_4mon_WT_rep1	Astrocyte	0.953320482095123	0.369343753459104	WT	NA	NA	mixed_model
GSE52022_4mon_WT_rep2	Astrocyte	-1.33535733355103	0.2679771525918	WT	NA	NA	mixed_model
GSE52022_4mon_5XFAD_rep1	Astrocyte	0.883701529297764	0.366260297783183	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE52022_4mon_5XFAD_rep2	Astrocyte	-0.69976441202093	0.296127857575427	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE53480_WT_rep1	Astrocyte	-4.47988720741095	0.128704467524558	WT	NA	NA	mixed_model
GSE53480_WT_rep2	Astrocyte	-6.3074377317933	0.0477614080412832	WT	NA	NA	mixed_model
GSE53480_WT_rep3	Astrocyte	-4.98903990968492	0.10615385843529	WT	NA	NA	mixed_model
GSE53480_WT_rep4	Astrocyte	-7.38580549881752	-2.75364836095525e-16	WT	NA	NA	mixed_model
GSE53480_Tg4510_rep1	Astrocyte	4.42960383092369	0.523309953643936	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE53480_Tg4510_rep2	Astrocyte	7.65359454799563	0.666101996273605	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE53480_Tg4510_rep3	Astrocyte	4.61829253853155	0.531667063928965	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE53480_Tg4510_rep4	Astrocyte	5.8505103192342	0.586242560359342	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE63617_15m_hp_VH_rep1	Astrocyte	-0.973497514862347	0.284004091621912	WT	NA	NA	mixed_model
GSE63617_15m_hp_VH_rep2	Astrocyte	-1.00787417802916	0.282481533282526	WT	NA	NA	mixed_model
GSE63617_15m_hp_VH_rep3	Astrocyte	1.45574673851085	0.391596445144748	WT	NA	NA	mixed_model
GSE63617_15m_hp_VH_rep4	Astrocyte	1.4128658106925	0.389697228983667	WT	NA	NA	mixed_model
GSE63617_15m_hp_VH_rep5	Astrocyte	0.690422859616527	0.357699895951259	WT	NA	NA	mixed_model
GSE63617_15m_hp_AD11_rep1	Astrocyte	-1.25344423563744	0.271605121651162	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE63617_15m_hp_AD11_rep2	Astrocyte	-0.631584867685018	0.29914756118367	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE63617_15m_hp_AD11_rep3	Astrocyte	-0.727113518192699	0.294916552991427	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE63617_15m_hp_AD11_rep4	Astrocyte	-1.75296571113995	0.249481084058036	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE63617_15m_hp_AD11_rep5	Astrocyte	1.5521771051406	0.39586739076183	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE64398_WT_18m_Hipp_rep1	Astrocyte	-0.901938367099474	0.287173479431806	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep2	Astrocyte	-2.36763863934918	0.222256935271444	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep3	Astrocyte	-1.28064895077981	0.270400212212755	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep4	Astrocyte	-1.93238397564007	0.24153456599352	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep5	Astrocyte	2.15305784520322	0.422480677145078	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep6	Astrocyte	-1.67845384882019	0.252781248963734	WT	NA	NA	mixed_model
GSE64398_WT_18m_Hipp_rep7	Astrocyte	-3.20344019101277	0.185238897296607	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep1	Astrocyte	-2.35417891678133	0.222853072620263	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep2	Astrocyte	0.0579811672393324	0.329688760366873	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep3	Astrocyte	-1.44007310130424	0.263339242720089	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep4	Astrocyte	-1.10246421837027	0.278292096569447	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep5	Astrocyte	-0.809231752996175	0.291279498324166	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep6	Astrocyte	-1.01385298150842	0.282216729306273	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep7	Astrocyte	-0.887312293535494	0.287821275006649	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep8	Astrocyte	-0.391957314360835	0.309760776546953	WT	NA	NA	mixed_model
GSE64398_WT_4m_Hipp_rep9	Astrocyte	0.182728320441145	0.335213869581238	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep1	Astrocyte	-4.83115743512079	0.11314654638537	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep10	Astrocyte	1.49984896172868	0.393549753044934	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep2	Astrocyte	-1.44209554547808	0.263249667730571	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep3	Astrocyte	-1.50590921624072	0.260423330685727	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep4	Astrocyte	-0.912115328359341	0.286722737102319	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep5	Astrocyte	-5.15592435032869	0.098762469236665	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep6	Astrocyte	-0.508349929246199	0.304605693705529	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep7	Astrocyte	-2.04615114617329	0.236495765298898	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep8	Astrocyte	-1.78579648454972	0.248026993892246	WT	NA	NA	mixed_model
GSE64398_WT_8m_Hipp_rep9	Astrocyte	-2.40273391055213	0.220702549449185	WT	NA	NA	mixed_model
GSE64398_het_TASTPM_18m_Hipp_rep1	Astrocyte	1.06437425553302	0.374262376539177	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE64398_het_TASTPM_18m_Hipp_rep2	Astrocyte	1.75375758458399	0.404795483594594	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE64398_het_TASTPM_18m_Hipp_rep3	Astrocyte	3.63649142249249	0.488182637602008	Disease	0.000172756684114039	0.000172756684114039	mixed_model
GSE64398_het_TASTPM_18m_Hipp_rep4	Astrocyte	4.26820294850164	0.516161433779646	Disease	0.000172756684114039	0.000172756684114039	mixed_model
