geneSymbol	date_added	notes	publication	pubmed	Type_of_modification	Measurement
Kdm5d	2015-11-01	gender				
Xist	2015-11-01	gender				
Abca7	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Aplp2	2016-01-02	amyloid beta (A4) precursor-like protein 2				
Apoe	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
App	2016-01-02	known genetic component; these mutations are rare but predispose the individual to developing early-onset AD	Rollo JL 2015 (review)	26703952		
Bace1	2016-01-02		list from Ashwani	20595388	Associated	Plaque amount; The level of synapse loss
Bin1	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Calpain	2016-01-02	calpain blocked by inhibitor MDL28170	list from Ashwani	19895631; 20595388; 22688056	Enhancer; Associated; Associated(Enhancer?)	Neuronal death; Plaque amount; The level of synapse loss; Investigated memory and learning function, Investigated the effects on tau accumulation and phosphorylation
Cass4	2016-01-02	New loci reaching genome-wide significance in the combined discovery and replication analysis	Lambert JC 2013	24162737		
Cd2ap	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Cd33	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Cdk5	2016-01-02		list from Ashwani	19895631	Associated	Neuronal death
Celf1	2016-01-02	New loci reaching genome-wide significance in the combined discovery and replication analysis	Lambert JC 2013	24162737		
Clu	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Cr1	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Dsg2	2016-01-02	New loci reaching genome-wide significance in the discovery analysis	Lambert JC 2013	24162737		
Eaat2	2016-01-02		list from Ashwani	25711212	Enhancer	Immunoblotting
Eid1	2016-01-02		list from Ashwani	22186421	Associated/Suppressor ?	Investigated memory and learning function
Epha1	2016-01-02	GWAS have previously provided compelling evidence for 10 susceptibility loci for LOAD	Rollo JL 2015 (review), ref[20-23]	26703952		
Fermt2	2016-01-02	New loci reaching genome-wide significance in the combined discovery and replication analysis	Lambert JC 2013	24162737		
Hla-drb1	2016-01-02	New loci reaching genome-wide significance in the discovery analysis	Lambert JC 2013	24162737		
Hla-drb5	2016-01-02	New loci reaching genome-wide significance in the discovery analysis	Lambert JC 2013	24162737		
Inpp5d	2016-01-02	New loci reaching genome-wide significance in the combined discovery and replication analysis	Lambert JC 2013	24162737		
Mef2c	2016-01-02	New loci reaching genome-wide significance in the combined discovery and replication analysis	Lambert JC 2013	24162737		
