Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE36237	GSE36237_HippVeh_WT_1	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_2	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_3	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_4	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_5	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_6	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_7	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_WT_8	WT	WT	1m	F	GSE36237	5	WT	NA	NA	NA	NA	WT
GSE36237	GSE36237_HippVeh_TG_1	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_2	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_3	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_4	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_5	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_6	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_7	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE36237	GSE36237_HippVeh_TG_8	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models
GSE64398	GSE64398_WT_2m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep10	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep11	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep12	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_2m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	2	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_4m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	4	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep10	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_18m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	18	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
