Astrocyte	DentateGranule	GabaSSTReln	Microglia	Microglia_activation	Microglia_deactivation	Oligo	Pyramidal.Thy1.Hipp	Pyramidal	groups
GSE14499_Hippocampus,GFP,rep1	1.49210079052224	1.54175208522448	-1.46484485097095	4.94625882209971	4.54939395915268	4.69924937993421	0.788390137021222	0.1621781053709	0.1621781053709	WT
GSE14499_Hippocampus,GFP,rep2	0.33540110388688	-0.051548101576397	0.881152742517814	-0.182895270333099	-0.821402696112971	-1.36720944258044	-2.74369330582368	2.7130514343866	2.7130514343866	WT
GSE14499_Hippocampus,APP,GFP,rep1	0.108649203172015	0.311187758773758	0.285823152237514	-0.418288617765094	1.13908317811952	-0.152644310595221	-4.07071714449838	-0.158778185027637	-0.158778185027637	Disease
GSE14499_Hippocampus,APP,GFP,rep2	2.92915083405963	1.28518200386494	-2.30720207719168	4.94541030219281	2.47275621138414	4.17451903652554	0.413780470298247	-2.35874204813986	-2.35874204813986	Disease
GSE14499_Hippocampus,APP,GFP,rep3	-0.472082474753496	-1.34863516734422	-0.417929219994949	1.03547494198286	0.165291738141456	1.66083869834142	2.19891223919517	-1.41452144443599	-1.41452144443599	Disease
GSE14499_Hippocampus,APP,GFP,rep4	-2.13127521782297	-2.43012776560183	2.47303294404842	-4.67381801580976	-3.48061879271033	-4.49324547487573	3.66424107015843	-0.00991840382930045	-0.00991840382930045	Disease
GSE15056_wt_rep1	0.820718014258837	-0.845739001133339	1.98870065457897	-1.4279076359248	-0.872715725389698	-1.24621106823081	0.708696571573721	0.458729090134738	0.458729090134738	WT
GSE15056_wt_rep2	-0.0012564210589971	0.966960395277114	-2.81633060320439	-2.65099963198242	-1.39833863920821	-1.99310754523035	0.020863973716915	-0.0375647337591588	-0.0375647337591588	WT
GSE15056_Tg2576_rep1	-2.15884296805376	0.920486433309482	-0.289440164612911	0.505378806710431	0.488734492222017	0.764987707909031	-3.40754346488961	-0.0868596811790337	-0.0868596811790337	Disease
GSE15056_Tg2576_rep2	1.47027025984323	-0.393417031482596	1.13426342040664	2.95280293003071	1.11709358385749	2.02392146549387	1.5011959786476	-1.2016027592967	-1.2016027592967	Disease
GSE1556_12moControl.1	0.627671057346956	2.3025133461058	-1.03498214461458	-0.14948762829829	0.0595204325314561	-1.56403873426629	-0.936226948165235	-3.10119400356399	-3.10119400356399	WT
GSE1556_12moControl.2	3.5165275386849	-0.65277442517273	-0.863446513966422	-1.05038359538453	-2.15389553310309	-1.18977746448425	4.39585078539403	-0.196103219400676	-0.196103219400676	WT
GSE1556_12moAPPSw.1	-0.940082664513464	-1.61653875559792	-2.19226095646382	-0.1010474696775	-0.438866388276909	0.830255225242308	1.03876034822107	0.364152012649067	0.364152012649067	Disease
GSE1556_12moAPPSw.2	-5.19743510875674	-1.0686353876773	3.55608941111435	-1.37992129700848	-0.121321040943561	-0.132663003760166	-5.16413524475923	2.01908776219475	2.01908776219475	Disease
GSE50521_eIF2+_S51A1	-3.37661869413715	1.00704442951238	-1.08371440129071	-7.98380238920333	-4.64608220549706	-6.63097061220081	-1.71124804387035	1.30328466409132	1.30328466409132	WT
GSE50521_eIF2+_S51A2	-4.36909177621414	-0.755687680434188	0.905974413496597	-8.73358377826348	-5.88006963324172	-6.41249761687558	0.698428382210226	0.468627178769573	0.468627178769573	WT
GSE50521_eIF2+_S51A3	-5.51004311757366	1.81306495467063	2.18734985471879	-6.60651060622259	-4.45621877011175	-6.18281582392644	-1.65160913658137	1.91247957925439	1.91247957925439	WT
GSE50521_WT1	-3.70254139536672	0.53718453688345	-0.51114559161031	-7.21590094662632	-4.66475494619306	-5.61513814912173	-1.27588553684783	0.658497119692198	0.658497119692198	WT
GSE50521_WT2	-4.03516224459897	1.87608391304797	1.52282219774381	-9.1330725467884	-6.08712663918446	-7.286944780297	-4.66536904359884	0.617269333458501	0.617269333458501	WT
GSE50521_WT3	-4.96742414766881	1.44487236956873	2.68753418898796	-9.67547359318558	-5.6380499450796	-6.74866337907917	-3.4998328814382	1.30685578324137	1.30685578324137	WT
GSE50521_5xFAD;eIF2+_S51A1	4.07062441210749	-1.65677924389469	-0.583828096667561	7.03946679309556	5.1170993213602	5.95666835471651	0.616936796020612	-0.372631732184111	-0.372631732184111	Disease
GSE50521_5xFAD;eIF2+_S51A2	2.12382635689448	0.771148327965255	-0.685626130340338	7.91204259990803	5.21205308876012	5.61453404707852	-1.14878702320361	-1.6523830460667	-1.6523830460667	Disease
GSE50521_5xFAD;eIF2+_S51A3	5.88121524565482	-0.280253739364415	-2.42453828904205	10.5740809362686	7.60535270231428	7.85769433547676	4.34153618611231	-1.11022393904161	-1.11022393904161	Disease
GSE50521_5xFAD1	3.59803719742422	-2.07072577228525	-0.0594765878222642	6.9408856547167	2.59603189819143	5.18852708068803	4.69842721403698	-0.000452437606895521	-0.000452437606895521	Disease
GSE50521_5xFAD2	6.85873024748574	-2.1267873615181	-1.78409726997937	9.16211858639565	5.63569989750321	7.36940498504953	2.31242476721158	-0.794426834247711	-0.794426834247711	Disease
GSE50521_5xFAD3	2.29062674911354	-0.0113052411435637	-0.0552386806129774	5.37955216557729	3.13723017930315	4.13945686445347	1.59263048032789	-0.216612265380936	-0.216612265380936	Disease
GSE52022_4mon_WT_rep1	1.63030013832179	1.11559560030178	3.95595516349499	-1.96729143547581	-0.250780486915893	-2.03538147879828	2.29055711235892	1.06575535941202	1.06575535941202	WT
GSE52022_4mon_WT_rep2	-1.19721760675062	2.00711315733046	-1.12517464649198	-6.07414947687523	-3.63040295842752	-3.64443263402998	0.559342820743462	-0.213412803404676	-0.213412803404676	WT
GSE52022_4mon_5XFAD_rep1	0.610095925055453	-1.15657612033298	-1.65947045557593	4.70974683016101	1.8138017887293	2.77688741195794	-1.58303717032026	0.709703406181624	0.709703406181624	Disease
GSE52022_4mon_5XFAD_rep2	-1.19105139244155	-1.54847704527612	-1.59170249726439	1.48541183283086	1.16105032000406	1.43062795716047	-1.22248940569478	-0.682343441983434	-0.682343441983434	Disease
GSE53480_WT_rep1	-4.65832497827957	-2.18791171932202	-0.195113592880668	-5.69912402382688	-4.35893385073672	-3.45875407820636	2.68402489532444	-0.0462740187224434	-0.0462740187224434	WT
