#2016-11-12, FDR calculated by p.adjust, method ='BH'													
ProbeName	X4_AD_2327	X4_AD_2333	X4_N_2334	X4_N_2382	X8_AD_1435	X8_AD_1439	X8_N_1434	X8_N_1433	P.Value	FDR	geneSymbol	up_down	regulation
1454608_x_at	12.42810911	12.59674933	10.96589342	10.66608025	12.752567	12.82671126	10.69319782	10.66288015	2.99E-07	0.013485199	Ttr	7.61608506	up
1451580_a_at	11.60362716	12.07999524	9.339455236	8.954936868	11.98545313	12.55465942	9.147561375	8.785441646	7.21E-07	0.01398131	Ttr	11.99633983	up
1459737_s_at	12.04705295	12.11258503	10.40626482	10.38846416	12.18195344	12.47377446	10.38749325	10.00185383	9.53E-07	0.01398131	Ttr	7.63128982	up
1455913_x_at	11.92515659	11.84875137	10.20277288	9.674868318	12.17194807	12.20223302	9.668091975	10.00287813	1.24E-06	0.01398131	Ttr	8.599477747	up
1460049_s_at	7.534410683	7.736955181	4.758122213	4.493598827	7.635404654	8.833506076	4.73669166	4.611923566	2.91E-06	0.021949153	1500015O10Rik	13.13994033	up
1449218_at	4.128577002	3.727267217	2.746183082	3.026394618	4.970486349	4.937199515	2.918958518	2.724336398	2.92E-06	0.021949153	Cox8b	6.347657467	up
1441966_at	3.206039462	3.441741638	2.393542451	2.513067926	3.713305269	3.477951279	2.095802916	2.008731364	1.01E-05	0.059758825		4.827892991	up
1454866_s_at	6.018138232	6.557300639	3.876843443	4.209415305	6.585523754	7.570518131	3.935010331	4.144694045	1.06E-05	0.059758825	Clic6	10.56551763	up
1460250_at	3.251171352	3.070586181	1.926444954	2.297099751	3.987022044	4.662032389	2.002127981	1.856934217	1.30E-05	0.065145889	Sostdc1	6.888205063	up
1418808_at	4.223245655	4.46696838	2.66753235	3.14635383	4.704964783	5.105508469	3.008651153	3.157265008	1.46E-05	0.06584746	Rdh5	6.520884946	up
1452913_at	5.594036664	5.536353125	4.784803743	4.788220726	6.337722481	6.13010409	5.247894573	5.376602374	1.82E-05	0.074040808	Pcp4l1	3.400694944	up
1456418_at	6.551192132	6.847597976	3.50630831	3.567464647	6.258000141	7.868534586	3.613704967	3.214348237	1.97E-05	0.074040808	Kcnj13	13.62349867	up
1436519_a_at	3.32766512	3.815226037	4.800172658	4.898408169	2.911874746	3.313829314	3.006503586	2.96462323	2.86E-05	0.0947121	Ldah	-2.301112426	down
1439122_at	6.124123201	6.010958072	7.867269226	7.521088813	6.551058711	6.31440409	6.190902204	5.826773385	2.94E-05	0.0947121	Ddx6	-2.405489554	down
