# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//jackknife_late_down_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_late_down_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Crhbp	1.5	21	regulation of N-methyl-D-aspartate selective glutamate receptor activity- FDR:0.0222244[11](GO:2000310); cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); neuron-neuron synaptic transmission- FDR:0.05200659[48](GO:0007270); main axon- FDR:0.02540806[54](GO:0044304); neuron projection terminus- FDR:0.04745591[134](GO:0044306); axon part- FDR:0.01321031[195](GO:0033267); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); behavior- FDR:0.01052292[346](GO:0007610); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297)	regulation of N-methyl-D-aspartate selective glutamate receptor activity- FDR:0.0222244[11](GO:2000310); cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); main axon- FDR:0.02540806[54](GO:0044304); neuron projection terminus- FDR:0.04745591[134](GO:0044306); axon part- FDR:0.01321031[195](GO:0033267); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); behavior- FDR:0.01052292[346](GO:0007610); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297)
Nrarp	4	1	negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122)	NA
Kcnq3	8	21	cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); main axon- FDR:0.02540806[54](GO:0044304); cation channel complex- FDR:0.05076903[89](GO:0034703); ion channel complex- FDR:0.005348[153](GO:0034702); gated channel activity- FDR:0.05130753[159](GO:0022836); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); axon part- FDR:0.01321031[195](GO:0033267); ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); main axon- FDR:0.02540806[54](GO:0044304); ion channel complex- FDR:0.005348[153](GO:0034702); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); axon part- FDR:0.01321031[195](GO:0033267); ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
6430573F11Rik	13	1	RNA processing- FDR:0.05206415[471](GO:0006396)	NA
Cadps2	14	7	synaptic membrane- FDR:0.009643[179](GO:0097060); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); synapse part- FDR:1.263e-09[422](GO:0044456)	synaptic membrane- FDR:0.009643[179](GO:0097060); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); synapse part- FDR:1.263e-09[422](GO:0044456)
Mkx	18	1	negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122)	NA
Vegfc	20	2	positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)	positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)
Nyap1	23	5	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666)	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666)
Ppp3cb	24.5	1	behavior- FDR:0.01052292[346](GO:0007610)	behavior- FDR:0.01052292[346](GO:0007610)
Etv5	26.5	9	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); regulation of neuron differentiation- FDR:0.01407064[400](GO:0045664); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); regulation of neuron differentiation- FDR:0.01407064[400](GO:0045664); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)
Rbfox2	26.5	7	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neurological system process- FDR:0.05160804[403](GO:0050877); neuron development- FDR:1.01e-09[435](GO:0048666); RNA processing- FDR:0.05206415[471](GO:0006396)	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666)
Mturn	30	1	neuron development- FDR:1.01e-09[435](GO:0048666)	neuron development- FDR:1.01e-09[435](GO:0048666)
Slc8a2	32	5	postsynapse- FDR:0.001263[277](GO:0098794); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); synapse part- FDR:1.263e-09[422](GO:0044456); cell body- FDR:0.002525[433](GO:0044297)	postsynapse- FDR:0.001263[277](GO:0098794); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); synapse part- FDR:1.263e-09[422](GO:0044456); cell body- FDR:0.002525[433](GO:0044297)
Kcnk12	33.5	5	ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
Pum2	37	3	dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297)	dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297)
Nr4a2	38	7	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); single-organism behavior- FDR:0.02430794[272](GO:0044708); behavior- FDR:0.01052292[346](GO:0007610); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666)	neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); single-organism behavior- FDR:0.02430794[272](GO:0044708); behavior- FDR:0.01052292[346](GO:0007610); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666)
Rgs7	40	1	dendrite- FDR:1.684e-09[382](GO:0030425)	dendrite- FDR:1.684e-09[382](GO:0030425)
Dlg2	41.5	22	main axon- FDR:0.02540806[54](GO:0044304); cation channel complex- FDR:0.05076903[89](GO:0034703); ion channel complex- FDR:0.005348[153](GO:0034702); excitatory synapse- FDR:0.02453343[164](GO:0060076); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); synaptic membrane- FDR:0.009643[179](GO:0097060); axon part- FDR:0.01321031[195](GO:0033267); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); axon- FDR:0.004714[356](GO:0030424); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); neurological system process- FDR:0.05160804[403](GO:0050877); synapse part- FDR:1.263e-09[422](GO:0044456); cell body- FDR:0.002525[433](GO:0044297); neuron development- FDR:1.01e-09[435](GO:0048666); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	main axon- FDR:0.02540806[54](GO:0044304); ion channel complex- FDR:0.005348[153](GO:0034702); excitatory synapse- FDR:0.02453343[164](GO:0060076); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); synaptic membrane- FDR:0.009643[179](GO:0097060); axon part- FDR:0.01321031[195](GO:0033267); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); axon- FDR:0.004714[356](GO:0030424); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); synapse part- FDR:1.263e-09[422](GO:0044456); cell body- FDR:0.002525[433](GO:0044297); neuron development- FDR:1.01e-09[435](GO:0048666); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
Mecp2	41.5	16	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); chromatin modification- FDR:0.025255[346](GO:0016568); neuron projection development- FDR:0.002245[362](GO:0031175); neurological system process- FDR:0.05160804[403](GO:0050877); neuron development- FDR:1.01e-09[435](GO:0048666); negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122); regulation of neurogenesis- FDR:0.005051[472](GO:0050767); chromosome organization- FDR:0.02553561[496](GO:0051276)	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); chromatin modification- FDR:0.025255[346](GO:0016568); neuron projection development- FDR:0.002245[362](GO:0031175); neuron development- FDR:1.01e-09[435](GO:0048666); regulation of neurogenesis- FDR:0.005051[472](GO:0050767); chromosome organization- FDR:0.02553561[496](GO:0051276)
Wwc1	43	1	negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122)	NA
Atp2a2	44	3	transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804)	transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804)
Wasf3	45	1	positive regulation of nervous system development- FDR:0.010102[341](GO:0051962)	positive regulation of nervous system development- FDR:0.010102[341](GO:0051962)
Lsm8	47	1	RNA processing- FDR:0.05206415[471](GO:0006396)	NA
Kcnip4	52	16	cation channel complex- FDR:0.05076903[89](GO:0034703); ion channel complex- FDR:0.005348[153](GO:0034702); gated channel activity- FDR:0.05130753[159](GO:0022836); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	ion channel complex- FDR:0.005348[153](GO:0034702); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
Dnajb5	54	1	negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122)	NA
Flrt2	55	8	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)	regulation of synapse structure or activity- FDR:0.001837[181](GO:0050803); neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); neuron projection development- FDR:0.002245[362](GO:0031175); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); neuron development- FDR:1.01e-09[435](GO:0048666); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)
Kcnj6	56	13	gated channel activity- FDR:0.05130753[159](GO:0022836); ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	ion channel activity- FDR:0.03003297[202](GO:0005216); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); axon- FDR:0.004714[356](GO:0030424); regulation of ion transport- FDR:0.01459178[373](GO:0043269); dendrite- FDR:1.684e-09[382](GO:0030425); neuronal cell body- FDR:0.001443[384](GO:0043025); cell body- FDR:0.002525[433](GO:0044297); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
Nop58	58	2	nucleoplasm part- FDR:0.04810476[443](GO:0044451); RNA processing- FDR:0.05206415[471](GO:0006396)	nucleoplasm part- FDR:0.04810476[443](GO:0044451)
Gabrb2	60	21	cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); neuron-neuron synaptic transmission- FDR:0.05200659[48](GO:0007270); ion channel complex- FDR:0.005348[153](GO:0034702); gated channel activity- FDR:0.05130753[159](GO:0022836); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); synaptic membrane- FDR:0.009643[179](GO:0097060); ion channel activity- FDR:0.03003297[202](GO:0005216); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); neurological system process- FDR:0.05160804[403](GO:0050877); synapse part- FDR:1.263e-09[422](GO:0044456); neuron development- FDR:1.01e-09[435](GO:0048666); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887); intrinsic component of plasma membrane- FDR:0.05108181[472](GO:0031226)	cellular response to ammonium ion- FDR:0.003885[16](GO:0071242); response to ammonium ion- FDR:0.02090069[40](GO:0060359); ion channel complex- FDR:0.005348[153](GO:0034702); transmembrane transporter complex- FDR:0.005051[167](GO:1902495); transporter complex- FDR:0.009224[170](GO:1990351); synaptic membrane- FDR:0.009643[179](GO:0097060); ion channel activity- FDR:0.03003297[202](GO:0005216); synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); channel activity- FDR:0.02378858[215](GO:0015267); passive transmembrane transporter activity- FDR:0.02378858[215](GO:0022803); postsynapse- FDR:0.001263[277](GO:0098794); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); synapse part- FDR:1.263e-09[422](GO:0044456); neuron development- FDR:1.01e-09[435](GO:0048666); integral component of plasma membrane- FDR:0.04927805[443](GO:0005887)
Npy5r	61	7	synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); behavior- FDR:0.01052292[346](GO:0007610); regulation of ion transport- FDR:0.01459178[373](GO:0043269)	synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); behavior- FDR:0.01052292[346](GO:0007610); regulation of ion transport- FDR:0.01459178[373](GO:0043269)
Rprd2	64	1	nucleoplasm part- FDR:0.04810476[443](GO:0044451)	nucleoplasm part- FDR:0.04810476[443](GO:0044451)
Mlip	69	2	negative regulation of transcription from RNA polymerase II promoter- FDR:0.05051[435](GO:0000122); nucleoplasm part- FDR:0.04810476[443](GO:0044451)	nucleoplasm part- FDR:0.04810476[443](GO:0044451)
Ngf	71	16	modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); neuron projection development- FDR:0.002245[362](GO:0031175); regulation of ion transport- FDR:0.01459178[373](GO:0043269); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); regulation of neuron differentiation- FDR:0.01407064[400](GO:0045664); neurological system process- FDR:0.05160804[403](GO:0050877); neuron development- FDR:1.01e-09[435](GO:0048666); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)	modulation of synaptic transmission- FDR:8.418e-10[216](GO:0050804); neuron projection morphogenesis- FDR:0.009621[252](GO:0048812); regulation of ion transmembrane transport- FDR:0.010102[255](GO:0034765); regulation of transmembrane transport- FDR:0.01063368[268](GO:0034762); single-organism behavior- FDR:0.02430794[272](GO:0044708); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); behavior- FDR:0.01052292[346](GO:0007610); neuron projection development- FDR:0.002245[362](GO:0031175); regulation of ion transport- FDR:0.01459178[373](GO:0043269); cell projection morphogenesis- FDR:0.005051[377](GO:0048858); cell part morphogenesis- FDR:0.00202[396](GO:0032990); regulation of neuron differentiation- FDR:0.01407064[400](GO:0045664); neuron development- FDR:1.01e-09[435](GO:0048666); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)
Cx3cl1	72	6	synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)	synaptic transmission- FDR:2.526e-09[206](GO:0007268); synaptic signaling- FDR:2.526e-09[206](GO:0099536); trans-synaptic signaling- FDR:2.526e-09[206](GO:0099537); cell-cell signaling- FDR:5.051e-09[290](GO:0007267); positive regulation of nervous system development- FDR:0.010102[341](GO:0051962); regulation of neurogenesis- FDR:0.005051[472](GO:0050767)
