Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	late phase: up-regulated	Msmo1	methylsterol monoxygenase 1	4.53e-08	5.00e-04	0.2843	0.048
		Man2b1	mannosidase 2, alpha B1	3.26e-07	1.70e-03	0.2284	0.0418
		Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	1.39e-06	4.80e-03	0.3181	0.062
		Cd68	CD68 antigen	2.58e-06	5.80e-03	0.427	0.0857
		Thy1	thymus cell antigen 1, theta	2.84e-06	5.80e-03	0.3688	0.0744
		Sqle	squalene epoxidase	3.35e-06	5.80e-03	0.275	0.0559
		Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	4.27e-06	6.30e-03	0.2321	0.0478
		Wdr82	WD repeat domain containing 82	5.37e-06	7.00e-03	0.2533	0.0465
		Nsdhl	NAD(P) dependent steroid dehydrogenase-like	3.94e-05	3.14e-02	0.2621	0.061
		Fdps	farnesyl diphosphate synthetase	6.03e-05	4.16e-02	0.2497	0.0597
		Reep1	receptor accessory protein 1	6.61e-05	4.16e-02	0.1139	0.0274
		Slc14a1	solute carrier family 14 (urea transporter), member 1	1.06e-04	5.51e-02	0.1977	0.049
		Trem2	triggering receptor expressed on myeloid cells 2	1.15e-04	5.67e-02	0.3989	0.0993
		Zbtb8b	zinc finger and BTB domain containing 8b	1.28e-04	6.03e-02	0.1745	0.0438
		Slc22a4	solute carrier family 22 (organic cation transporter), member 4	1.66e-04	6.32e-02	0.2398	0.0613
		Amph	amphiphysin	1.81e-04	6.32e-02	0.1345	0.0346
		Ttc39c	tetratricopeptide repeat domain 39C	1.98e-04	6.32e-02	0.2057	0.0533
		Tyrobp	TYRO protein tyrosine kinase binding protein	2.41e-04	6.52e-02	0.2993	0.0787
		Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.58e-04	6.52e-02	0.2004	0.0529
		Gfap	glial fibrillary acidic protein	2.59e-04	6.52e-02	0.2802	0.0741
		0610007P14Rik	RIKEN cDNA 0610007P14 gene	2.62e-04	6.52e-02	0.1152	0.0305
		Twsg1	twisted gastrulation BMP signaling modulator 1	2.64e-04	6.52e-02	0.1308	0.0346
		Arcn1	archain 1	2.73e-04	6.57e-02	0.2441	0.0618
		Gpr22	G protein-coupled receptor 22	2.84e-04	6.69e-02	0.1758	0.0468
		C1qa	complement component 1, q subcomponent, alpha polypeptide	3.01e-04	6.93e-02	0.2386	0.0638
		Rbm11	RNA binding motif protein 11	3.67e-04	7.25e-02	0.1946	0.0528
		Fahd1	fumarylacetoacetate hydrolase domain containing 1	3.70e-04	7.25e-02	0.1833	0.0498
		Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	3.72e-04	7.25e-02	0.1471	0.0398
