#2017-03-21												
# this file is to assign samples to model types. ignore other columns (some info are not correct)												
Sample	Platform	Disease_stage	Genotype	Gender	Dataset	Age (months)	Original_genotype	Phase		Model_types	repeat_length	notes
GSE10202_CHL2_141	GPL1261	Disease	HD	F	GSE10202	22	CHL2Q150_Q150	late		CAG repeat KI	150	Kuhn study
GSE10202_CHL2_153	GPL1261	Disease	HD	F	GSE10202	22	CHL2Q150_Q150	late		CAG repeat KI	150	Kuhn study
GSE10202_CHL2_154	GPL1261	Disease	HD	F	GSE10202	22	CHL2Q150_Q150	late		CAG repeat KI	150	Kuhn study
GSE10202_CHL2_191	GPL1261	Disease	HD	M	GSE10202	22	CHL2Q150_Q150	late		CAG repeat KI	150	Kuhn study
GSE10202_WT_161	GPL1261	WT	WT	F	GSE10202	22	WT	late		CAG repeat KI	0	Kuhn study
GSE10202_WT_170	GPL1261	WT	WT	M	GSE10202	22	WT	late		CAG repeat KI	0	Kuhn study
GSE10202_WT_180	GPL1261	WT	WT	M	GSE10202	22	WT	late		CAG repeat KI	0	Kuhn study
GSE10202_WT_200	GPL1261	WT	WT	M	GSE10202	22	WT	late		CAG repeat KI	0	Kuhn study
GSE19676_WT_12m_rep1	GPL6333	WT	WT	M	GSE19676	12	WT	late		Full-length	0	Kuhn study
GSE19676_WT_12m_rep2	GPL6333	WT	WT	M	GSE19676	12	WT	late		Full-length	0	Kuhn study
GSE19676_WT_12m_rep3	GPL6333	WT	WT	M	GSE19676	12	WT	late		Full-length	0	Kuhn study
GSE19676_WT_12m_rep4	GPL6333	WT	WT	M	GSE19676	12	WT	late		Full-length	0	Kuhn study
GSE19676_YAC128_12m_rep1	GPL6333	Disease	HD	M	GSE19676	12	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_12m_rep2	GPL6333	Disease	HD	M	GSE19676	12	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_12m_rep3	GPL6333	Disease	HD	M	GSE19676	12	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_12m_rep4	GPL6333	Disease	HD	M	GSE19676	12	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_12m_rep5	GPL6333	Disease	HD	F	GSE19676	12	YAC128	late		Full-length	128	Kuhn study
GSE19676_WT_24m_rep1	GPL6333	WT	WT	F	GSE19676	24	WT	late		Full-length	0	Kuhn study
GSE19676_WT_24m_rep2	GPL6333	WT	WT	M	GSE19676	24	WT	late		Full-length	0	Kuhn study
GSE19676_WT_24m_rep3	GPL6333	WT	WT	M	GSE19676	24	WT	late		Full-length	0	Kuhn study
GSE19676_YAC128_24m_rep1	GPL6333	Disease	HD	F	GSE19676	24	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_24m_rep2	GPL6333	Disease	HD	M	GSE19676	24	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_24m_rep3	GPL6333	Disease	HD	M	GSE19676	24	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_24m_rep4	GPL6333	Disease	HD	M	GSE19676	24	YAC128	late		Full-length	128	Kuhn study
GSE19676_YAC128_24m_rep5	GPL6333	Disease	HD	M	GSE19676	24	YAC128	late		Full-length	128	Kuhn study
GSE25232_N171-98Q_rep1	GPL6885	Disease	HD	F	GSE25232	14	N171_98Q	late		CAG repeat KI	98	expression limit to MSNs
GSE25232_N171-98Q_rep2	GPL6885	Disease	HD	F	GSE25232	14	N171_98Q	late		CAG repeat KI	98	expression limit to MSNs
GSE25232_N171-98Q_rep3	GPL6885	Disease	HD	F	GSE25232	14	N171_98Q	late		CAG repeat KI	98	expression limit to MSNs
GSE25232_N171-98Q_rep4	GPL6885	Disease	HD	F	GSE25232	14	N171_98Q	late		CAG repeat KI	98	expression limit to MSNs
GSE25232_wt_rep1	GPL6885	WT	WT	F	GSE25232	14	WT	late		CAG repeat KI	7	
GSE25232_wt_rep2	GPL6885	WT	WT	F	GSE25232	14	WT	late		CAG repeat KI	7	
GSE25232_wt_rep3	GPL6885	WT	WT	F	GSE25232	14	WT	late		CAG repeat KI	7	
GSE26317_str.tg.cntr.1	GPL6103	Disease	HD	F	GSE26317	5	R62_300Q	late		N-terminal	300	
GSE26317_str.tg.cntr.2	GPL6103	Disease	HD	M	GSE26317	5	R62_300Q	late		N-terminal	300	
GSE26317_str.tg.cntr.3	GPL6103	Disease	HD	M	GSE26317	5	R62_300Q	late		N-terminal	300	
GSE26317_str.tg.cntr.4	GPL6103	Disease	HD	F	GSE26317	5	R62_300Q	late		N-terminal	300	
GSE26317_str.wt.cntr.1	GPL6103	WT	WT	M	GSE26317	5	WT	late		N-terminal	7	
GSE26317_str.wt.cntr.2	GPL6103	WT	WT	F	GSE26317	5	WT	late		N-terminal	7	
GSE26317_str.wt.cntr.3	GPL6103	WT	WT	F	GSE26317	5	WT	late		N-terminal	7	
GSE26317_str.wt.cntr.4	GPL6103	WT	WT	M	GSE26317	5	WT	late		N-terminal	7	
GSE32417_12m_HdhQ150_rep1	GPL6246	Disease	HD	M	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_HdhQ150_rep2	GPL6246	Disease	HD	M	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_HdhQ150_rep3	GPL6246	Disease	HD	F	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_HdhQ150_rep4	GPL6246	Disease	HD	F	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_HdhQ150_rep5	GPL6246	Disease	HD	F	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_HdhQ150_rep6	GPL6246	Disease	HD	F	GSE32417	12	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_12m_WT_rep1	GPL6246	WT	WT	M	GSE32417	12	WT	late		HTT exon 1 KI	7	
GSE32417_12m_WT_rep2	GPL6246	WT	WT	F	GSE32417	12	WT	late		HTT exon 1 KI	7	
GSE32417_12m_WT_rep3	GPL6246	WT	WT	F	GSE32417	12	WT	late		HTT exon 1 KI	7	
GSE32417_12m_WT_rep4	GPL6246	WT	WT	F	GSE32417	12	WT	late		HTT exon 1 KI	7	
GSE32417_12m_WT_rep5	GPL6246	WT	WT	F	GSE32417	12	WT	late		HTT exon 1 KI	7	
GSE32417_18m_HdhQ150_rep1	GPL6246	Disease	HD	F	GSE32417	18	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_18m_HdhQ150_rep2	GPL6246	Disease	HD	F	GSE32417	18	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_18m_HdhQ150_rep3	GPL6246	Disease	HD	F	GSE32417	18	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_18m_HdhQ150_rep4	GPL6246	Disease	HD	F	GSE32417	18	HdhQ150	late		HTT exon 1 KI	124	
GSE32417_18m_WT_rep1	GPL6246	WT	WT	F	GSE32417	18	WT	late		HTT exon 1 KI	7	
GSE32417_18m_WT_rep2	GPL6246	WT	WT	F	GSE32417	18	WT	late		HTT exon 1 KI	7	
GSE32417_18m_WT_rep3	GPL6246	WT	WT	F	GSE32417	18	WT	late		HTT exon 1 KI	7	
GSE32417_18m_WT_rep4	GPL6246	WT	WT	F	GSE32417	18	WT	late		HTT exon 1 KI	7	
