# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_early_down_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_early_down_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
Name	ID	CorrectedPvalue	top_genes	NumGenes	MFPvalue	NumProbes	RawScore	Pval	CorrectedMFPvalue	Multifunctionality	Same.as	GeneMembers
negative regulation of intracellular signal transduction	GO:1902532	0.53266889	Ddit3(3), Arap3(4), Herpud1(27.5), Apoe(85), Src(92), Syvn1(129), Slc9a3r1(133), Wtip(148), Irf1(151), Nfkbib(167)	277	0.034585	277	0.03514627	0.00849	0.98742118	0.964		Abl1|Abl2|Ackr3|Adra1a|Aida|Akt1|Akt1s1|Ankrd26|Apc|Apoe|Arap3|Arhgap24|Arhgap35|Arntl|Arrb1|Ash1l|Bag5|Bcl2|Bcl2l1|Bcl2l2|Bcl6|Bmp4|Bmp7|C1qbp|C1qtnf3|Casp8|Cav1|Ccar2|Ccdc22|Cd44|Cd74|Cdc34|Cdc42se1|Cdkn2d|Chp1|Cib1|Cish|Clu|Cmya5|Cnksr3|Creb3|Crtc3|Csk|Cul3|Cxcl12|Cyld|Dab1|Dab2|Dab2ip|Dag1|Ddit3|Ddit4|Ddx3x|Deptor|Dgkz|Dhx58|Dnaja1|Dnaja3|Dusp1|Dusp10|Dusp16|Dusp19|Dusp26|Dusp3|Dusp6|Dusp7|Dyrk1a|Errfi1|Faf1|Fkbp1b|Fktn|Flcn|Fnip1|Foxm1|Foxo1|G2e3|Gba|Gps2|Gpx1|Grina|Gsk3a|Gsk3b|Gstm7|Gsto1|Hdac1|Hdac2|Hdac3|Herpud1|Hgs|Hif1a|Hmgcr|Hnf4a|Hspb1|Hsph1|Hyal2|Hyou1|Igbp1|Igf1|Igf1r|Ikbkg|Inpp5k|Inppl1|Irak3|Irf1|Itch|Itga3|Itgb1|Itgb1bp1|Itpr1|Ivns1abp|Kank1|Kctd13|Kdm1a|Klf4|Lemd2|Leprot|Limd1|Litaf|Lrrk2|Lyn|Magi2|Mapk7|Mapk8ip1|Mapkap1|Mcl1|Mdm2|Mecom|Men1|Mfn2|Mgrn1|Mif|Mmp9|Mul1|Myadm|Myoc|Ncor1|Ndrg2|Ndufa13|Ndufs3|Nf1|Nfe2l2|Nfkbia|Nfkbib|Nfkbid|Nlrx1|Nme5|Noc2l|Nol3|Nuak1|Nuak2|Nup62|Opa1|Optn|Otud7b|P2rx7|Pafah1b1|Park7|Parl|Pebp1|Per1|Pgap2|Phb|Phlda3|Phlpp1|Pik3ip1|Pink1|Pkd2|Plekha1|Pou5f1|Ppif|Ppm1a|Ppm1b|Ppp2cb|Prkaa1|Prkaa2|Prkca|Prkcd|Prkcdbp|Prnp|Psmd10|Pten|Ptpn1|Ptpn6|Ptprd|Ptprr|Pttg1ip|Rabgef1|Ranbp9|Rapgef1|Rasa1|Rasa2|Rasa3|Rasal1|Rasal2|Rasal3|Rassf2|Rffl|Rgs14|Rgs2|Ripk1|Rnf149|Rnf34|Rora|Rrm2b|Rrn3|Sac3d1|Scai|Senp2|Serpine2|Sfrp1|Sirt1|Sirt3|Sla2|Slc9a3r1|Slc9a3r2|Slit2|Smpd1|Snai1|Socs2|Socs3|Socs4|Socs5|Socs6|Sod2|Sorl1|Spred1|Spred2|Spry4|Src|Sri|Stambp|Stat1|Stmn3|Suz12|Syvn1|Taok3|Tbc1d10c|Tbc1d7|Timp2|Tle1|Tmbim6|Tmem127|Tmem161a|Tnfaip1|Tnfaip3|Tnfaip8l1|Tnip1|Traf3ip1|Trap1|Triap1|Trim32|Trim59|Trim67|Tsc1|Tsc2|Tspan6|Twist1|Uaca|Ube2b|Ubr1|Ubr2|Uchl1|Uri1|Usp47|Vdac2|Vimp|Vrk3|Wfs1|Wnk2|Wtip|Wwc1|Wwc2|Xbp1|Xdh|Ybx3|Zfp385a|Zmynd11|
inorganic ion homeostasis	GO:0098771	0.53932725	Ddit3(3), Herpud1(27.5), Aplp2(45), Nmb(63), Apoe(85), Ptk2(113), Slc9a3r1(133), Cln3(171), Ccr5(175), Itpr3(177), Trpv6(179)	295	0.034585	295	0.03544918	0.00849	0.99299983	0.973		Abcb7|Abl1|Abl2|Aco1|Adcyap1|Adra1a|Ager|Agt|Alas2|Ank1|Ank2|Ank3|Aplp2|Apoe|App|Aqp11|Arf1|Asph|Atox1|Atp13a4|Atp1a1|Atp1a2|Atp1a3|Atp1b1|Atp1b2|Atp1b3|Atp2a1|Atp2a2|Atp2b2|Atp2c1|Atp5b|Atp6ap1|Atp6v0a1|Atp6v0a2|Atp6v1b1|Atp7a|B2m|Bak1|Bax|Bbc3|Bcap31|Bcl2|Bdh2|Btbd9|Cacna1a|Cacna1c|Cacna1g|Cacnb4|Calb2|Calca|Camk2d|Car12|Car14|Car2|Car4|Car7|Cav1|Ccdc22|Ccdc47|Cckbr|Ccl19|Ccr5|Cherp|Chp1|Cib2|Ckb|Clcn3|Clic4|Cln3|Cln5|Cln6|Clstn1|Cnga1|Cnnm2|Commd1|Cp|Crhr1|Cul5|Cutc|Ddit3|Dlg4|Drd1|Edn1|Ednra|Ednrb|Egfr|Eif2ak1|Enpp1|Epas1|Epor|F2r|Fam20a|Fbxl5|Fech|Fis1|Fkbp1a|Fkbp1b|Fth1|Fxn|Fxyd1|Fzd2|Gata2|Gck|Gja1|Gna13|Gna15|Gnas|Gnb1|Gng3|Gper1|Gpr12|Gpr3|Grik2|Grin1|Grina|Grm1|Heph|Herpud1|Hexb|Hfe|Hif1a|Hrh3|Htt|Hyal2|Ibtk|Il6st|Immt|Inpp4b|Ireb2|Iscu|Itgav|Itgb1|Itpr1|Itpr3|Jak2|Jak3|Jph2|Kcna1|Kcnh2|Kcnj10|Kcnk3|Kcnma1|Kdr|Kl|Lck|Lpar1|Lrp6|Mafg|Mchr1|Mcoln1|Mcu|Mcur1|Mfi2|Micu1|Micu2|Mon1a|Mt1|Mt2|Mt3|Mtf1|Mtss1|Ndfip1|Ndn|Neo1|Nmb|Nol3|Nos1|Npff|Npy1r|Npy2r|Nubp1|Oprl1|Oxt|Oxtr|P2rx7|P2ry1|Pdgfra|Pdk2|Pdk4|Picalm|Pik3cb|Pkd1|Pkd2|Pla2g6|Plcd1|Plcg2|Pml|Ppt1|Prkca|Prkcb|Prkce|Prkg1|Prnp|Psen1|Psen2|Pth1r|Ptk2|Ptk2b|Pvalb|Pygm|Rab39|Rab7|Rap1gds1|Rhcg|Ric3|Rmdn3|Ryr1|Ryr3|S100b|Scnn1a|Sfxn1|Sfxn2|Sfxn3|Sfxn4|Sfxn5|Sgk1|Slc11a1|Slc11a2|Slc12a5|Slc17a7|Slc22a17|Slc24a2|Slc24a3|Slc25a27|Slc25a28|Slc26a4|Slc30a1|Slc30a3|Slc30a4|Slc30a5|Slc31a1|Slc31a2|Slc35g1|Slc37a1|Slc37a3|Slc37a4|Slc39a13|Slc39a4|Slc39a6|Slc40a1|Slc4a2|Slc4a3|Slc4a4|Slc4a7|Slc4a8|Slc8a1|Slc8a2|Slc8a3|Slc8b1|Slc9a1|Slc9a2|Slc9a3r1|Slc9a8|Slc9a9|Smdt1|Sod1|Sod2|Stc1|Stc2|Steap2|Stim2|Stoml2|Sv2a|Sypl2|Tac1|Tacr1|Tbxa2r|Tbxas1|Tcirg1|Tesc|Tfr2|Tfrc|Tgfb1|Tgm2|Tmbim6|Tmem64|Tmprss6|Tmtc2|Trf|Trhr|Trim24|Trmt10a|Trp53|Trpc1|Trpc3|Trpc4|Trpc5|Trpc6|Trpc7|Trpv4|Trpv6|Ttc7|Vapb|Wfs1|Xk|
multi-organism transport	GO:0044766	0.540507	Tap2(6)	12	0.007735	12	0.01517122	0.007445	0.7861854	0.637	GO:1902579|multi-organism localization, 	Cav1|Cav2|Ddx39b|Eps15|Tap2|Tcp1|Thoc1|Thoc2|Thoc3|Thoc5|Thoc6|Thoc7|
multi-organism localization	GO:1902579	0.540507	Tap2(6)	12	0.007735	12	0.01517122	0.007445	0.7861854	0.637	GO:0044766|multi-organism transport, 	Cav1|Cav2|Ddx39b|Eps15|Tap2|Tcp1|Thoc1|Thoc2|Thoc3|Thoc5|Thoc6|Thoc7|
calcium ion transport into cytosol	GO:0060402	0.54060696	Ddit3(3), Ccr5(175), Itpr3(177)	25	0.00702	25	0.01747982	0.00734	0.77555739	0.866		Adra1a|Bbc3|Cacna1g|Ccl19|Ccr5|Cherp|Ddit3|F2r|Fkbp1a|Fkbp1b|Ibtk|Itgav|Itpr1|Itpr3|Lck|Mcoln1|Nol3|P2rx7|Pkd2|Plcg2|Prkce|Ryr1|Slc8a1|Slc8a2|Slc8a3|
cation homeostasis	GO:0055080	0.54615418	Ddit3(3), Herpud1(27.5), Aplp2(45), Nmb(63), Apoe(85), Cln3(171), Ccr5(175), Itpr3(177), Trpv6(179)	288	0.034585	288	0.03402154	0.00849	0.99864187	0.971		Abcb7|Abl1|Abl2|Aco1|Adcyap1|Adra1a|Ager|Agt|Alas2|Ank1|Ank2|Ank3|Aplp2|Apoe|App|Aqp11|Arf1|Asph|Atox1|Atp13a4|Atp1a1|Atp1a2|Atp1a3|Atp1b1|Atp1b2|Atp1b3|Atp2a1|Atp2a2|Atp2b2|Atp2c1|Atp5b|Atp6ap1|Atp6v0a1|Atp6v0a2|Atp6v1b1|Atp7a|B2m|Bak1|Bax|Bbc3|Bcap31|Bcl2|Bdh2|Btbd9|Cacna1a|Cacna1c|Cacna1g|Cacnb4|Calb2|Calca|Camk2d|Car12|Car14|Car2|Car4|Car7|Cav1|Ccdc22|Ccdc47|Cckbr|Ccl19|Ccr5|Cherp|Chp1|Cib2|Clcn3|Clic4|Cln3|Cln5|Cln6|Clstn1|Cnga1|Cnnm2|Commd1|Cp|Crhr1|Cul5|Cutc|Ddit3|Dlg4|Drd1|Edn1|Ednra|Ednrb|Egfr|Eif2ak1|Epas1|Epor|F2r|Fam20a|Fbxl5|Fech|Fis1|Fkbp1a|Fkbp1b|Fth1|Fxn|Fxyd1|Fzd2|Gata2|Gck|Gja1|Gna13|Gna15|Gnas|Gnb1|Gng3|Gper1|Gpr12|Gpr3|Grik2|Grin1|Grina|Grm1|Heph|Herpud1|Hexb|Hfe|Hif1a|Hrh3|Htt|Hyal2|Ibtk|Il6st|Immt|Inpp4b|Ireb2|Iscu|Itgav|Itgb1|Itpr1|Itpr3|Jak2|Jak3|Jph2|Kcna1|Kcnh2|Kcnj10|Kcnk3|Kcnma1|Kdr|Kl|Lck|Lpar1|Lrp6|Mafg|Mchr1|Mcoln1|Mcu|Mcur1|Mfi2|Micu1|Micu2|Mon1a|Mt1|Mt2|Mt3|Mtf1|Mtss1|Ndfip1|Ndn|Neo1|Nmb|Nol3|Nos1|Npff|Npy1r|Npy2r|Nubp1|Oprl1|Oxt|Oxtr|P2rx7|P2ry1|Pdgfra|Pdk2|Pdk4|Picalm|Pik3cb|Pkd1|Pkd2|Pla2g6|Plcd1|Plcg2|Pml|Ppt1|Prkca|Prkcb|Prkce|Prkg1|Prnp|Psen1|Psen2|Pth1r|Ptk2b|Pvalb|Pygm|Rab39|Rab7|Rap1gds1|Rhcg|Ric3|Rmdn3|Ryr1|Ryr3|S100b|Scnn1a|Sfxn1|Sfxn2|Sfxn3|Sfxn4|Sfxn5|Sgk1|Slc11a1|Slc11a2|Slc12a5|Slc17a7|Slc22a17|Slc24a2|Slc24a3|Slc25a27|Slc25a28|Slc26a4|Slc30a1|Slc30a3|Slc30a4|Slc30a5|Slc31a1|Slc31a2|Slc35g1|Slc37a4|Slc39a13|Slc39a4|Slc39a6|Slc40a1|Slc4a2|Slc4a3|Slc4a4|Slc4a7|Slc4a8|Slc8a1|Slc8a2|Slc8a3|Slc8b1|Slc9a1|Slc9a2|Slc9a8|Slc9a9|Smdt1|Sod1|Sod2|Stc1|Stc2|Steap2|Stim2|Stoml2|Sv2a|Sypl2|Tac1|Tacr1|Tbxa2r|Tcirg1|Tesc|Tfr2|Tfrc|Tgfb1|Tgm2|Tmbim6|Tmem64|Tmprss6|Tmtc2|Trf|Trhr|Trim24|Trmt10a|Trp53|Trpc1|Trpc3|Trpc4|Trpc5|Trpc6|Trpc7|Trpv4|Trpv6|Ttc7|Vapb|Wfs1|Xk|
response to unfolded protein	GO:0006986	0.54648904	Ddit3(3), Herpud1(27.5), Atf6b(82), Syvn1(129)	49	0.007835	49	0.01704878	0.00785	0.76572058	0.687		Aars|Amfr|Atf4|Atf6|Atf6b|Ccnd1|Chac1|Creb3|Creb3l2|Dab2ip|Ddit3|Derl2|Dnajc3|Eif2ak2|Eif2ak3|Ep300|Faf2|Fbxo6|Herpud1|Herpud2|Hsp90aa1|Hspa4l|Hspb1|Hspd1|Hsph1|Jkamp|Mfn2|Nfe2l2|Pacrg|Parp16|Ppp1r15a|Ptpn1|Rhbdd1|Rnf121|Serp1|Stc2|Stt3b|Stub1|Syvn1|Tbl2|Tmbim6|Tmem129|Upf2|Upf3a|Vapb|Vimp|Wfs1|Xbp1|Yod1|
antigen processing and presentation of peptide antigen via MHC class I	GO:0002474	0.54803189	Tap2(6), Bag6(46)	15	0.007535	15	0.01558554	0.00798	0.79776813	0.692		B2m|Bag6|Calr|Fcer1g|Fcgr1|Fcgr3|H2-K1|H2-M3|H2-Q1|H2-T3|Hfe|Ifi30|Mr1|Tap2|Tapbp|
regulation of interleukin-8 production	GO:0032677	0.54855706	Ddit3(3)	24	0.00702	24	0.01732432	0.00734	0.792792	0.871		Anxa4|Apoa2|Arrb1|Bcl10|Cactin|Ddit3|F2r|Fadd|Hyal2|Il18|Klf4|Lbp|Map2k5|Mavs|Otud7b|Park7|Prkd2|Ripk1|Tirap|Tlr2|Tlr7|Tlr9|Wnt5a|Zfp580|
cellular response to oxygen-containing compound	GO:1901701	0.54878015	Itpr2(25), Pik3r3(32), Crhbp(41), Snw1(89), Src(92), Ptk2(113), Rab8a(138), Zfp277(145), Irf1(151), Ramp3(153), Nfkbib(167), Itpr3(177)	348	0.03452	348	0.04115137	0.007235	1	0.992		Aacs|Abl1|Abl2|Acaca|Adam9|Adcy6|Adcy7|Add1|Adnp2|Adprhl2|Agap3|Akap6|Akap7|Akr1c18|Akt1|Akt3|Apex1|Aplp1|Apoa4|Aqp1|Aqp4|Arhgef2|Atp7a|Axl|Baiap2|Bcar1|Bcl2l1|Blm|Bmp4|Brinp1|Brinp2|Brinp3|C2cd5|Cactin|Capn10|Capn2|Casp9|Cav1|Cav2|Ccl12|Ccs|Cd14|Cd86|Cdc73|Cdh1|Cdk2|Cebpb|Cmpk2|Col16a1|Col1a1|Col1a2|Col4a1|Col6a1|Cpeb1|Cpeb3|Crhbp|Crhr1|Csk|Ctnna1|Ctnnb1|Ctr9|Cxcl16|Cyp1b1|Dab2ip|Dcps|Ddias|Dgat2|Dmtn|Dnm2|Dnmt1|Dnmt3b|Drd1|Egfr|Egr1|Egr2|Egr3|Egr4|Eif4ebp1|Eif4ebp2|Enpp1|Epha3|Ezh2|Fancc|Fbxo32|Fer|Fos|Foxo1|Fxn|Fyn|Gas6|Gbp2|Gck|Ghr|Glrx|Gnas|Gpam|Gpd1|Gper1|Gpld1|Grb10|Grb14|Grb2|Grin2a|Gsk3a|H2afz|Hcn2|Hdac2|Hdac6|Hdac9|Hsp90b1|Htra2|Icam1|Igf2|Igfbp5|Il12a|Il18|Inhba|Inhbb|Inpp5k|Insr|Ipo5|Irak1|Irak2|Irf1|Irf3|Irf8|Irs1|Irs2|Itpr1|Itpr2|Itpr3|Jak2|Kat2b|Kat5|Kcnc2|Kcnk4|Kdm6b|Kl|Klf9|Kmt2e|Lamtor1|Lamtor2|Lamtor4|Lamtor5|Lbp|Lck|Litaf|Lpin1|Lrp6|Lrrk2|Ltk|Ly96|Lyn|Map3k5|Mapk1|Mapk14|Mapk3|Mapk7|Mapk8|Mef2c|Mgst1|Mlxipl|Mmp2|Mpv17|Mrc1|Mt1|Mtdh|Myd88|Mydgf|Myo5a|Myog|Ncl|Ndor1|Ndufa13|Net1|Neurl1a|Nfe2l2|Nfkb1|Nfkbia|Nfkbib|Nfkbil1|Nos1|Nos3|Npas4|Nqo1|Nr1d1|Nr1h3|Nsmf|Ntrk2|Ogt|Osbpl7|Oser1|Oxr1|P2rx4|P2ry6|Paf1|Pak1|Park7|Parp1|Pcgf2|Pdcd10|Pde2a|Pde4d|Pdgfb|Pdgfc|Pdgfra|Pdia3|Pdk2|Pdk3|Pdk4|Pdpk1|Pdxp|Phc1|Phip|Pid1|Pik3ca|Pik3r1|Pik3r2|Pik3r3|Pim1|Pkd2|Pklr|Plcb1|Plekha1|Pparg|Ppargc1b|Ppif|Ppp2ca|Ppp3ca|Prdx1|Prdx2|Prdx3|Prdx5|Prkaa1|Prkaa2|Prkaca|Prkca|Prkcb|Prkce|Prkcz|Prkdc|Ptk2|Ptk2b|Ptk7|Ptpn1|Ptpra|Ptprk|Pxn|Rab10|Rab11b|Rab11fip2|Rab11fip5|Rab13|Rab31|Rab8a|Rab8b|Raf1|Ramp3|Ranbp1|Rangap1|Rap1b|Rapgef1|Rapgef2|Rapgef3|Rarg|Rela|Rhob|Ripk2|Rnf4|Romo1|Rora|Rorb|Rps6ka2|Rps6kb1|Rragc|Rragd|Ruvbl2|Rxrb|Selt|Setx|Sfrp1|Sgk1|Sh2b2|Shc1|Sik2|Sin3a|Sipa1|Sirt1|Sirt2|Slc25a33|Slc2a8|Slc38a9|Slc8a1|Slc8a3|Slc9a1|Slit2|Smarcc1|Smyd3|Snw1|Socs2|Sod1|Sod2|Sod3|Soga1|Sorbs1|Sox4|Sox9|Spidr|Src|Srebf1|Srsf3|Stat1|Stat3|Stat5a|Stat6|Stk25|Stxbp4|Tbc1d4|Tead2|Tesc|Tgfb1|Ticam1|Tirap|Tlr2|Tnfaip3|Tnip2|Traf2|Traf6|Trem2|Trp53inp1|Trpc6|Tsc2|Twf2|Ubr1|Ubr2|Usf1|Vamp2|Vcam1|Vimp|Xbp1|Yap1|Ywhag|Zc3h12a|Zeb1|Zfp106|Zfp277|Zfp580|Zfp709|
