geneID	geneSymbol	geneNames	GOTerms	GemmaIDs	NCBIids	platform
Man2b1	Man2b1	mannosidase 2, alpha B1	GO:0005975|GO:0006013|GO:0006464|GO:0007611|GO:0008152	|537234	|17159	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Idh1	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	GO:0006097|GO:0006099|GO:0006102|GO:0006103|GO:0006749|GO:0006979|GO:0014070|GO:0048545|GO:0055114|GO:0060696|GO:0071071	524662|	15926|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Twsg1	Twsg1	twisted gastrulation homolog 1 (Drosophila)	GO:0001503|GO:0001707|GO:0007275|GO:0007435|GO:0009790|GO:0009888|GO:0030097|GO:0030154|GO:0030509|GO:0030513|GO:0030514|GO:0030900|GO:0043010|GO:0045668	|640042	|65960	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Sqle	Sqle	squalene epoxidase	GO:0006725|GO:0008152|GO:0008203|GO:0010033|GO:0055114	576557	20775	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cd68	Cd68	CD68 antigen	GO:0071310	|490054	|12514	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Wdr82	Wdr82	WD repeat domain containing 82	GO:0051568	|734001	|77305	GPL11180|GPL1261|GPL339|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Msmo1	Msmo1	methylsterol monoxygenase 1	GO:0006629|GO:0006633|GO:0006694|GO:0008202|GO:0016126|GO:0055114	643239	66234	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Reep1	Reep1	receptor accessory protein 1	GO:0032386|GO:0051205|GO:0071786	|612862	|52250	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Nsdhl	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	GO:0001942|GO:0006629|GO:0006694|GO:0006695|GO:0007224|GO:0008202|GO:0008203|GO:0016126|GO:0055114|GO:0060716	|548340	|18194	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slc22a4	Slc22a4	solute carrier family 22 (organic cation transporter), member 4	GO:0006641|GO:0006810|GO:0006811|GO:0006814|GO:0009437|GO:0015695|GO:0015697|GO:0015879|GO:0034220|GO:0055085|GO:0072337|GO:1902603	|607695	|30805	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Kctd6	Kctd6	potassium channel tetramerisation domain containing 6	GO:0051260	693711	71393	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Fdps	Fdps	farnesyl diphosphate synthetase	GO:0006629|GO:0006694|GO:0006695|GO:0008202|GO:0008203|GO:0008299|GO:0016126|GO:0045337|GO:0045542|GO:0061051	|773429	|110196	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slc14a1	Slc14a1	solute carrier family 14 (urea transporter), member 1	GO:0006810|GO:0006833|GO:0015840|GO:0055085|GO:0071918	768022	108052	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Syap1	Syap1	synapse associated protein 1		654835|	67043|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
