# taken from Table S2 (early: mouse R6/2 6w) 
# the order is the rank order: of the top 50 up and top 50 down
Order	phase	ProbeName	change	regulation	geneSymbol
2	early	1427306_at	-0.937	down	Ryr1
3	early	1417804_at	-0.833	down	Rasgrp2
4	early	1421175_at	-0.506	down	Myt1l
5	early	1422036_at	-0.446	down	Strn
6	early	1419225_at	-0.565	down	Cacna2d3
7	early	1417279_at	-0.69	down	Itpr1
8	early	1452071_at	-0.385	down	Slc4a4
9	early	1428485_at	-0.705	down	Car12
10	early	1419221_a_at	-0.249	down	Rgs14
11	early	1448752_at	-0.579	down	Car2
12	early	1454043_a_at	-0.676	down	Kcnab1
13	early	1427519_at	-0.698	down	Adora2a
14	early	1450930_at	-0.561	down	Hpca
15	early	1419425_at	-0.546	down	Cnr1
16	early	1422609_at	-0.707	down	Arpp19
17	early	1449980_a_at	-0.689	down	Gabrd
18	early	1451008_at	-0.505	down	St8sia3
19	early	1428443_a_at	-0.467	down	Rap1gap
20	early	1437082_at	-0.465	down	Akap9
21	early	1454086_a_at	-0.317	down	Lmo2
22	early	1450088_a_at	-0.826	down	Mobp
23	early	1435525_at	-0.367	down	Kctd17
25	early	1450026_a_at	-0.481	down	B3gnt2
26	early	1423285_at	-0.829	down	Coch
27	early	1460038_at	-0.332	down	Pou3f1
28	early	1421768_a_at	-0.539	down	Homer1
29	early	1423415_at	-0.347	down	Gpr83
30	early	1416003_at	-0.621	down	Cldn11
31	early	1418174_at	-0.396	down	Dbp
32	early	1453412_a_at	-0.369	down	Sec14l1
33	early	1425130_a_at	-0.752	down	Ptpn5
34	early	1429514_at	-0.373	down	Ppap2b
35	early	1427250_at	-0.574	down	Atp2a2
37	early	1426679_at	-0.449	down	Zfp706
38	early	1418782_at	-0.371	down	Rxrg
39	early	1427038_at	-0.809	down	Penk
40	early	1423259_at	-0.623	down	Id4
42	early	1418350_at	-0.299	down	Hbegf
44	early	1422335_at	-0.373	down	Adra2c
45	early	1427683_at	-0.423	down	Egr2
46	early	1423478_at	-0.636	down	Prkcb
47	early	1435222_at	-0.428	down	Foxp1
48	early	1421260_a_at	-0.341	down	Srm
49	early	1448498_at	-0.201	down	Rps6ka4
51	early	1449420_at	-0.617	down	Pde1b
52	early	1436736_x_at	-0.47	down	Nrep
53	early	1429122_a_at	-0.27	down	Pradc1
54	early	1432273_a_at	-0.254	down	Ackr1
55	early	1420403_at	-0.637	down	Atp2b2
56	early	1422018_at	-0.337	down	Hivep2
24	early	1419509_a_at	0.336	up	Nagk
41	early	1417786_a_at	0.341	up	Rgs19
50	early	1434353_at	0.239	up	Sfmbt2
67	early	1451230_a_at	0.318	up	Wbp5
68	early	1422552_at	0.194	up	Rprm
78	early	1448350_at	0.281	up	Asl
84	early	1436871_at	0.261	up	Srsf7
87	early	1418141_at	0.251	up	Dcx
93	early	1448190_at	0.401	up	Mrpl33
106	early	1448788_at	0.228	up	Cd200
125	early	1418298_s_at	0.325	up	Dpysl4
134	early	1421750_a_at	0.286	up	Vbp1
137	early	1455511_at	0.183	up	Sephs1
143	early	1423715_a_at	0.214	up	Nedd8
144	early	1455039_a_at	0.554	up	Sin3b
152	early	1450683_at	0.118	up	Tagln3
153	early	1416023_at	0.374	up	Fabp3
155	early	1451507_at	0.227	up	Mef2c
157	early	1425323_a_at	0.304	up	Fam173a
158	early	1421033_a_at	0.297	up	Tcerg1
162	early	1426242_at	0.263	up	Polr2a
171	early	1417058_a_at	0.26	up	Krtcap2
182	early	1423281_at	0.233	up	Stmn2
184	early	1424967_x_at	0.402	up	Tnnt2
191	early	1417199_at	0.187	up	Tmem183a
194	early	1437525_a_at	0.26	up	Polr3a
197	early	1416733_at	0.202	up	Mkln1
202	early	1420095_s_at	0.135	up	Zscan21
204	early	1424628_a_at	0.259	up	Ndufv3
206	early	1418022_at	0.158	up	Naa15
207	early	1438865_at	0.201	up	H13
208	early	1448501_at	0.325	up	Tspan6
210	early	1456642_x_at	0.205	up	S100a10
214	early	1437382_at	0.199	up	Acvr2a
219	early	1419239_at	0.144	up	Zfp54
220	early	1452560_a_at	0.219	up	Nfya
221	early	1417428_at	0.279	up	Gng3
222	early	1416577_a_at	0.258	up	Rbx1
226	early	1428552_at	0.338	up	2610001J05Rik
233	early	1433951_at	0.128	up	Arl5a
245	early	1420113_s_at	0.257	up	Coprs
246	early	1419200_at	0.156	up	Fxyd7
248	early	1452324_at	0.158	up	Pvt1
255	early	1437690_x_at	0.162	up	Csnk1d
258	early	1460705_at	0.159	up	Rps6kb1
268	early	1417959_at	0.214	up	Pdlim7
276	early	1448753_at	0.323	up	Srp9
282	early	1423758_at	0.138	up	G3bp2
296	early	1418801_at	0.105	up	Zkscan1
300	early	1438988_x_at	0.186	up	Hn1
