#Supplementary Table 2. Probes significantly altered in striatum due to mutant huntingtin. 
#Significantly altered probes were identified by false disecovery rate (q<0.05; 6 biological replicates per group)
Probe ID	FC	FDR	regulation	geneSymbol
1434216_a_at	-3.27	4.19848E-06	down	Nudt19
1460662_at	-2.23	9.40497E-05	down	Per3
1432332_a_at	-1.99	0.000696726	down	Nudt19
1424251_a_at	-1.21	0.005303249	down	Hnrpdl
1416826_a_at	-2.30	0.005303249	down	Med20
1428380_at	-1.36	0.00559079	down	0610007C21Rik
1417839_at	-1.66	0.00559079	down	Cldn5
1454716_x_at	-1.23	0.00559079	down	Cox5b
1456588_x_at	-1.21	0.00559079	down	Cox5b
1423051_at	-1.21	0.00559079	down	Hnrnpu
1439239_at	-1.68	0.00559079	down	Lin7b
1428820_at	-1.69	0.00559079	down	Mapre1
1431028_a_at	-1.63	0.00559079	down	Pank1
1460214_at	-1.17	0.00559079	down	Pcp4
1436462_at	-2.04	0.005597792	down	3100002L24Rik
1441388_at	-4.43	0.006183673	down	Mbd2
1451666_at	-1.23	0.006523412	down	Acly
1436506_a_at	-1.23	0.006523412	down	Snhg6
1417727_at	-1.27	0.006687623	down	Sfrs9
1434278_at	-2.14	0.007702335	down	Mtm1
1435613_x_at	-1.19	0.008382622	down	Cox5b
1446612_at	-1.84	0.008872376	down	9330118A15Rik
1449019_at	-1.44	0.008872376	down	Akap1
1416902_a_at	-1.30	0.008872376	down	Cox5b
1451717_s_at	-1.33	0.009062912	down	Senp2
1441959_s_at	-1.65	0.009612562	down	Jkamp
1452347_at	-1.28	0.009612562	down	Mef2a
1415807_s_at	-1.43	0.009612562	down	Sfrs2
1436456_at	-1.42	0.009612562	down	Slc38a9
1426584_a_at	-1.31	0.009612562	down	Sord
1438355_at	-2.05	0.009612562	down	Tmem90a
1438751_at	-1.57	0.01029498	down	Slc30a10
1424877_a_at	-1.28	0.01044384	down	Alad
1423345_at	-1.24	0.01044384	down	Degs1
1426365_at	-1.35	0.01084821	down	2810403A07Rik
1460320_at	-1.22	0.01084821	down	Becn1
1422998_a_at	-1.17	0.01092796	down	Glrx2
1432411_a_at	-1.41	0.01138203	down	Fbxw2
1440557_at	-4.09	0.01154615	down	Ipw
1424785_at	-1.41	0.01221028	down	Angptl6
1433539_at	-1.28	0.01221028	down	Commd3
1419653_a_at	-1.18	0.01221028	down	Ddx5
1434921_at	-1.99	0.01221028	down	Nr2e1
1423571_at	-1.37	0.01221028	down	S1pr1
1421346_a_at	-1.93	0.01221028	down	Slc6a6
1423034_at	-1.23	0.01333159	down	Txndc17
1420907_at	-1.44	0.01350502	down	Cd2ap
1439630_x_at	-2.29	0.01350502	down	Sbsn
1440227_at	-2.06	0.01350502	down	Slc5a3
1426578_s_at	-1.51	0.01350502	down	Snapin
1436740_at	-1.76	0.01447874	down	6820431F20Rik
1444004_at	-1.64	0.01447874	down	Thoc2
1415980_at	-1.20	0.01530358	down	Atp5g2
1449145_a_at	-1.69	0.01530358	down	Cav1
1459992_x_at	-1.41	0.01530358	down	Cln8
1439889_at	-1.57	0.01530358	down	Scn8a
1428404_at	-1.19	0.01610984	down	2410025L10Rik
1421859_at	-1.46	0.01610984	down	Adam17
1454795_at	-1.39	0.01610984	down	Cobll1
1426314_at	-1.54	0.01610984	down	Ednrb
1424002_at	-1.22	0.01610984	down	Pdcl3
1458306_at	-1.56	0.01610984	down	Pigz
1452439_s_at	-1.38	0.01610984	down	Sfrs2
1437707_at	-1.23	0.01610984	down	Slmo1
1434644_at	-1.64	0.01610984	down	Tbl1x
1421904_at	-1.20	0.01610984	down	Tgs1
1428225_s_at	-1.35	0.01613494	down	Hnrpdl
1456908_at	-1.29	0.0164627	down	BC023202
1455207_at	-1.26	0.01680764	down	2410017P09Rik
