Astrocyte	DentateGranule	GabaSSTReln	Microglia	Microglia_activation	Microglia_deactivation	Oligo	Pyramidal_Thy1	A1	A2	groups
GSE36237_HippVeh_WT_1	1.02799087011325	-1.96894857905239	2.79883961598673	-0.0303468723342252	-1.23817905861871	-3.20416620668191	-1.85516152519902	0.774448495492818	1.57253530941763	-0.526348441566612	WT
GSE36237_HippVeh_WT_2	3.04076605985362	1.93883857213361	-3.74139318702326	-0.492218165610279	-0.0409341847645428	0.989821375382785	1.28793157337345	0.0315056011470146	0.278872716965715	-0.551977846561901	WT
GSE36237_HippVeh_WT_3	-2.16678464501938	-1.43133903839526	3.68751695166739	-1.51243729623694	-2.39892359897735	-1.54871987494251	-1.00833390694588	1.05087448164518	-0.583987541610108	-1.12432530284572	WT
GSE36237_HippVeh_WT_4	2.91802838502571	-0.359465162284406	2.21849838105268	-1.35572921215085	-1.46731098257259	-1.50164396429173	0.263845624700434	1.02095223353534	-0.254063404442692	-0.650363212669521	WT
GSE36237_HippVeh_WT_5	9.36078720019192	2.34123635306334	-3.95764105025237	0.934859473869274	0.606409097624649	0.183058229772817	6.6952350523281	-2.62267877047435	1.34003187289945	0.800290800969204	WT
GSE36237_HippVeh_WT_6	-0.211854057026412	2.09173721089441	-0.763063626631574	-2.30441574780733	-0.794073425476693	-1.51429729671164	1.9889017458028	-1.64985783295543	-0.0581788662688046	0.258023115764474	WT
GSE36237_HippVeh_WT_7	1.14507351287224	1.49766863286339	-1.71141812858974	0.718664597816547	1.05909022550044	2.27893499334236	3.20962982949729	0.677856880410398	2.31979520730177	0.0166446309053623	WT
GSE36237_HippVeh_WT_8	0.814554938340616	1.47419082625085	-2.29878528265227	-1.3062843268986	-0.846270158819468	-0.568560618202249	0.566239413277477	-0.892506393926156	-0.103086721865959	0.371247622856046	WT
GSE36237_HippVeh_TG_1	-0.402986096497754	-1.18271401659991	1.38944330236926	-0.598118420160103	0.712729118575244	-0.350387973630051	1.54065254440664	-1.28241728837081	0.742133604532952	0.939630839353483	Disease
GSE36237_HippVeh_TG_2	-3.1796044828314	1.69605286830762	-1.90112049715488	2.73011327439581	2.48105958637801	3.08548142494775	-2.87875501468074	0.238831337466909	-1.1092338027074	0.474028692609737	Disease
GSE36237_HippVeh_TG_3	-2.85388957529004	-1.59275798965957	0.743512940371261	-0.761481584255389	-0.00106015361751929	-0.106814179845906	5.84762537585795	-2.30598011122716	-1.34384837361403	-0.281434351693406	Disease
GSE36237_HippVeh_TG_4	-1.42415321595962	0.0402118118855375	-0.0177043696899669	0.898555618552765	0.956556536027029	0.965638300896634	-3.47231763004611	0.856630250463052	-0.347826104781917	0.519879075426198	Disease
GSE36237_HippVeh_TG_5	0.479158521269536	-1.17741062203582	1.24042488917276	-0.664959132268208	-0.287810683957624	-1.75141003540804	-0.409977516999831	1.26234762162834	-0.109957199659148	-0.925913047809082	Disease
GSE36237_HippVeh_TG_6	-2.50231739038787	-1.52154761356839	0.371855227327183	4.85713612858119	3.06281685006956	3.38378282880621	-0.0142089786812163	0.31882862524341	-0.927786950353979	0.672528248802656	Disease
GSE36237_HippVeh_TG_7	-2.74810021625867	-0.274128331056974	1.32496163959773	-0.602502310862239	-1.23548059215601	0.688101349565483	-4.6665357177215	1.02031682197163	-0.995410075835629	0.337474346704722	Disease
GSE36237_HippVeh_TG_8	-3.65954914105894	-1.01650040684388	-0.576142392051763	-1.60930837968753	-1.38184682091063	-1.27887293939365	-6.87222825628651	2.27208779180557	-0.658539899770263	-0.0176927581323958	Disease
GSE48622_WT_rep1	0.518632551938401	0.352891344659251	0.208810252208264	3.02121805241777	2.62134788568276	0.715298144739796	1.83291353745951	-0.317612818441689	1.44916974458701	-0.100527072861918	WT
GSE48622_WT_rep2	2.49330511818496	1.59416562221511	-2.98480773104039	2.23434829061498	2.82992419569059	2.0656789881112	7.77319642277897	-0.224188956174029	-0.0436472078086466	0.0848421443997623	WT
GSE48622_WT_rep3	-0.60749103287698	0.554198968943764	-0.642006949730649	2.98869653578924	1.44986353168776	2.89823494206819	4.70653629178153	-1.23850456247405	-0.0351327190495673	0.216311519775621	WT
GSE48622_WT_rep4	0.581466196455308	0.120788200484141	-0.280318235137559	2.22782589648494	0.860467333561342	0.986347913363445	1.02715490217281	-0.633041754509598	0.370302633908061	-0.0463215007568199	WT
GSE48622_APLP2KO_rep1	-0.225207132479515	-0.698865332909101	0.568899313882654	-1.33497471698949	-1.89193666528998	-0.925060993679993	0.730833285217557	0.48426844701232	-1.27976651113955	-0.9323276171357	Disease
GSE48622_APLP2KO_rep2	0.314415936572456	-0.217373867523872	0.0609465280153682	-0.288296962297609	0.393144797579354	0.430590359286185	3.35524715162638	-0.44560189304292	-1.18912623919867	0.356352986483715	Disease
GSE48622_APLP2KO_rep3	0.718992609920909	0.563044307368047	-0.730139141186746	-1.42451988292534	-0.226289058999522	-0.777129405595882	2.81564900378585	0.108796113055433	0.446163638086082	0.202998744882465	Disease
GSE48622_APLP2KO_rep4	0.879835571266234	0.0033147273453881	-1.37476066525131	-0.340085374576195	0.499267543303612	0.0626815399833129	5.74112168741828	-0.64219223959743	1.05931925763368	0.480890526573183	Disease
GSE48622_APPKO_rep1	-2.87751961932503	-0.773573787459968	1.99324929086704	-1.27249897655615	-1.55115344214424	-1.19382059736044	-9.04591118752795	0.719841887779303	0.257747687083329	-0.411685331076753	Disease
GSE48622_APPKO_rep2	0.531437085478411	-0.445042056261896	-0.701019112603483	0.479966059959433	1.04757240996107	0.052760549064589	4.63135493466551	0.85773891201388	-0.649414572215977	-0.187529304024857	Disease
GSE48622_APPKO_rep3	1.02456200936027	-1.28439455038003	-0.0327016649468093	2.12053502958151	-0.868896690951933	1.28521262775817	-5.34476764178315	-0.489048363868043	-0.331546142277664	-0.351144068426215	Disease
GSE48622_APPKO_rep4	2.38000472559916	-0.0938023503998412	-0.168491343683072	0.924396796787254	-0.0183829020579507	0.142308351594769	-3.30763233098664	-0.192107290399181	0.594877934528612	0.601623912110066	Disease
GSE48622_N.dCKO_rep1	-2.41853210106331	-0.97543822779025	2.85013707355723	-3.28483616708908	-1.51182468821164	-2.00517846903903	-7.55862124398337	0.923455696906508	-1.27792390064066	-0.223088019101934	Disease
GSE48622_N.dCKO_rep2	-2.74181012492703	-0.0510425595849305	1.35661096281912	-2.62869255192832	-1.33520142568778	-1.58004320974364	-3.80777102453939	-0.250801997020617	0.14565897029508	0.062831124386328	Disease
GSE48622_N.dCKO_rep3	-1.84383223028505	-0.520515079225244	2.20818656300143	-3.39726329939749	-2.24755456248924	-4.08877163129483	-3.35396348159978	0.014804548217203	-0.511286914461235	-0.236132719301509	Disease
GSE48622_N.dCKO_rep4	-2.50639729865655	-0.44788513717426	1.10234623068293	-2.69592949272806	-1.87850873533859	-3.08940865413036	-1.04034044085656	0.0602933889849778	-0.0289369151142443	0.143644773329245	Disease
GSE63617_3m_hp_VH_rep1	-4.13592976489709	-1.85177733166376	3.67940248237183	-0.668817682243539	-0.746862072867693	0.114959698605968	-3.11381799877477	3.68515768888427	-2.76620213162823	-1.00320053498024	WT
GSE63617_3m_hp_VH_rep2	2.58559110176005	0.0173752082090847	-0.233813103690084	0.550733921799914	1.87362566179902	1.59735269106084	4.60115131550609	-0.547667494863711	-0.430751510955911	0.501665453575142	WT
GSE63617_3m_hp_VH_rep3	-4.46178529339337	-1.35372853116345	2.73043027673296	-0.756873578927795	-0.37701832523849	1.07538606012885	-0.514311459174746	2.45779203790069	-1.48943511722062	-0.429676701171158	WT
GSE63617_3m_hp_VH_rep4	-5.8429417739622	-2.12110073797416	4.60929428437448	-2.70617285483495	-1.5014270006376	-2.77497909187163	-3.65075824994731	2.91314888403382	-2.18298789825051	-1.44129923683101	WT
GSE63617_3m_hp_VH_rep5	-2.38412264268795	-0.200025197506229	-1.04777214758504	5.85622644637215	6.38490211710739	6.70214078976005	0.0779530119107601	-0.865526923422508	-1.01315681865241	0.027348894709781	WT
GSE63617_6m_hp_VH_rep1	2.72765558451474	3.20146489852021	-4.78054176568778	1.33189423350091	-0.854518467697524	2.00728917008348	-3.30650701645297	-1.08189183473163	2.30054718185458	0.53153114364933	WT
GSE63617_6m_hp_VH_rep2	0.078807986082029	1.17940978144216	-0.218726334539623	-0.42375598774956	-2.69060250110223	0.0363624385455609	-2.24239346111125	0.724322656271755	2.79448779705049	-0.585184617446429	WT
GSE63617_6m_hp_VH_rep3	3.91230277643019	-0.460263215214646	-1.42519415346095	1.03254883995136	-0.617855819834986	-0.673917135138856	-1.06590510892691	0.417347655887221	0.892010893788112	0.167077081255742	WT
GSE63617_6m_hp_VH_rep4	7.06530433469343	1.91174606828026	-3.83692650019683	1.43549422678004	-0.590611981696679	0.328697018632551	-5.0962901580889	0.433536652871335	2.54360352171642	0.911280799465719	WT
GSE63617_6m_hp_VH_rep5	2.47867053306461	1.2812143406152	-1.97481688053142	-0.796949837464694	-0.093136713856581	-3.92517582882532	-2.33080199565085	1.4158270041219	3.3566043339725	0.50810090901642	WT
GSE63617_3m_hp_AD11_rep1	2.07705743184925	0.406673971070026	-1.51762233060229	1.03920887857154	1.91042489660669	0.854262924756462	3.81003293458366	0.842586531256576	-1.67089977013836	0.44301161470032	Disease
GSE63617_3m_hp_AD11_rep2	-5.80295704718963	-5.43228361688018	5.16535960628006	2.84219189149549	3.00043488438125	3.17166138252262	-5.51293954920177	0.949311632246064	-2.15415897835094	-1.6348357824218	Disease
GSE63617_3m_hp_AD11_rep3	-4.19866809761278	0.561593114520465	1.75931367310142	-0.219778917370144	1.92886117985972	2.66096259395785	2.2317215817577	2.12051651368695	-1.5014486478437	0.24513580226985	Disease
GSE63617_3m_hp_AD11_rep4	-4.5928637833515	-0.504958371491171	1.28385779486995	-1.75243594087247	-1.25338922741387	-1.32090321640223	1.55997887176338	2.66335580862794	-2.01213998045302	-0.770192517504772	Disease
GSE63617_3m_hp_AD11_rep5	-0.882683697629565	-3.12252866322958	0.974751316307753	-2.07917512300486	-0.143499267965946	-0.441719107120784	4.06946563182589	-2.23683417492266	-3.95934973849091	-0.331459090502108	Disease
GSE63617_6m_hp_AD11_rep1	3.8607618006908	1.63498427714812	-0.00461102211915664	-4.17537344585645	-3.45790621898814	-6.05241502380592	-3.15432710218241	1.28232217476032	2.49960563644105	-0.541117345754949	Disease
GSE63617_6m_hp_AD11_rep2	-1.70608456050882	1.75966100134098	0.776810766413567	-5.96248003999193	-5.32867976246997	-6.22097868460861	-0.444741747828909	-1.12098373710131	-0.138778301546809	-0.344518731665348	Disease
GSE63617_6m_hp_AD11_rep3	-1.62101137729919	0.748369785807458	1.38323353187555	-3.63426170005663	-4.00518022693746	-4.11979875636912	6.89097768991287	-9.41207155627972	0.863432873881615	0.484718983326435	Disease
GSE63617_6m_hp_AD11_rep4	7.71593678083123	1.46612531167545	-4.08146174003971	4.30294581361399	3.30341725758621	2.84894914830233	3.67434337513736	-2.01221252317363	1.56792421982757	0.780594822037422	Disease
GSE63617_6m_hp_AD11_rep5	5.5002969477229	1.60623184782228	-4.35171574338428	4.91169907470957	3.13766141606346	4.92193963468648	3.58391728515837	-2.59376967103863	2.28204278622388	1.06103904531912	Disease
GSE64398_WT_2m_Hipp_rep1	-3.31685685034469	2.01565903928766	-2.21652470729445	-0.293978998505794	0.479755720614741	3.40626957169172	0.104908947449669	-1.72514855005401	0.133874535657343	1.75879882568777	WT
GSE64398_WT_2m_Hipp_rep10	6.28698035306226	2.05731570605413	-4.07326386409243	-2.32563045418663	-1.63272199695193	-0.740448441798144	1.24624514113898	-0.0376661225692334	0.538398038686302	0.667948258778714	WT
GSE64398_WT_2m_Hipp_rep11	2.42775683953669	0.728431555629118	0.172467571215738	-3.70992766650239	-4.75126049884718	-1.23526242005739	-4.36172627124042	2.83975681688364	-0.704904114195885	-0.934214324398102	WT
GSE64398_WT_2m_Hipp_rep12	10.6537046701282	1.49993026188195	-6.47216368102245	-1.4657841820258	0.864048076526892	-0.72464145305512	8.77464718547059	-0.518683809712092	1.51486836348371	1.43998522189591	WT
GSE64398_WT_2m_Hipp_rep2	2.00160187102327	2.12586749695527	-2.83444222490633	-0.394935270428736	0.0165344883862552	-0.222804360256763	3.0945048405867	-0.987919841122898	0.0451693656468168	1.80314665490043	WT
GSE64398_WT_2m_Hipp_rep3	4.09881881144421	3.3812176048421	-5.29130186875922	0.248420837457076	1.16142877039951	-0.903813853975217	1.8157410699076	-2.30396146122386	0.862885170287234	0.877743625639641	WT
GSE64398_WT_2m_Hipp_rep4	-2.38207239550933	0.909711643487542	0.360229525911958	1.57242540208281	4.73352736875741	1.20555370146684	0.514828694482122	-0.683939277901485	-0.114455381516064	1.44301738720047	WT
