# 2017-01-31
Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset
GSE36237_HippVeh_WT_1	Astrocyte	1.02799087011325	0.519699236055297	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_2	Astrocyte	3.04076605985362	0.612866990869774	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_3	Astrocyte	-2.16678464501938	0.371818805394998	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_4	Astrocyte	2.91802838502571	0.607185683959219	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_5	Astrocyte	9.36078720019192	0.905409438246276	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_6	Astrocyte	-0.211854057026412	0.462309037304575	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_7	Astrocyte	1.14507351287224	0.525118781670328	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_8	Astrocyte	0.814554938340616	0.509819669444305	WT	NA	NA	mixed_model
GSE36237_HippVeh_TG_1	Astrocyte	-0.402986096497754	0.453461877879407	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_2	Astrocyte	-3.1796044828314	0.324937190994395	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_3	Astrocyte	-2.85388957529004	0.340013950087966	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_4	Astrocyte	-1.42415321595962	0.406193882777131	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_5	Astrocyte	0.479158521269536	0.494294770632648	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_6	Astrocyte	-2.50231739038787	0.356287596190878	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_7	Astrocyte	-2.74810021625867	0.344910749847052	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE36237_HippVeh_TG_8	Astrocyte	-3.65954914105894	0.30272141326115	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE48622_WT_rep1	Astrocyte	0.518632551938401	0.496121952739046	WT	NA	NA	mixed_model
GSE48622_WT_rep2	Astrocyte	2.49330511818496	0.587526005426453	WT	NA	NA	mixed_model
GSE48622_WT_rep3	Astrocyte	-0.60749103287698	0.443995711032732	WT	NA	NA	mixed_model
GSE48622_WT_rep4	Astrocyte	0.581466196455308	0.499030409488857	WT	NA	NA	mixed_model
GSE48622_APLP2KO_rep1	Astrocyte	-0.225207132479515	0.461690947382673	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE48622_APLP2KO_rep2	Astrocyte	0.314415936572456	0.486669131755143	Disease	0.322160517096772	0.322160517096772	mixed_model
GSE48622_APLP2KO_rep3	Astrocyte	0.718992609920909	0.505396260596118	Disease	0.322160517096772	0.322160517096772	mixed_model
