Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE10908	GSM276554.CEL	GSM276554	ADAM10,rep1	1.006	0.039	0.027	0.34	0.978	0	1.19785949996642	0.893461806403398	-0.0405422795505785	0.0118130093736202	0.194869602269863	72.3825507727377	54.2582204385712	3.1	1.89e-07	No	0	0	0	0	0
GSE10908	GSM276555.CEL	GSM276555	ADAM10,rep2	1.002	0.037	-0.003	0.284	0.982	0	1.02591841556437	0.816292515801196	-0.21274796614814	-0.185842205899013	0.18003744382423	93.771475054194	56.2227001618589	3.31	3.33e-09	No	0	1	0	0	1
GSE10908	GSM276556.CEL	GSM276556	ADAM10,rep3	1.004	0.036	0.02	0.306	0.98	0	1.3598436363704	1.04653327720797	-0.10572659659551	-0.0702926944877635	0.22283749579277	79.3028778290235	53.1961597303829	3.13	5.19e-08	No	0	0	0	0	0
GSE10908	GSM276557.CEL	GSM276557	dnADAM10,rep1	1.004	0.037	0.004	0.31	0.98	0	1.12368300760587	0.918951020719771	-0.173273871021861	-0.0921547123332935	0.231416059187098	83.5257297367687	55.0719496241768	3.58	2.15e-09	No	0	0	0	0	0
GSE10908	GSM276558.CEL	GSM276558	dnADAM10,rep2	1	0.034	0.013	0.285	0.982	0	1.29846918405946	1.07078548256541	-0.230855302200466	-0.156028394168169	0.210112901724526	65.7476224244299	55.4045364847786	3.36	1.36e-08	No	0	0	0	0	0
GSE10908	GSM276559.CEL	GSM276559	dnADAM10,rep3	1.002	0.035	0.021	0.299	0.981	0	1.54431080163876	1.19541405947345	-0.0146794819008171	0.0644432849694248	0.319068951244649	70.8168195762698	54.0364958648367	3.35	5.33e-09	No	0	0	0	0	0
GSE10908	GSM276560.CEL	GSM276560	FVB_N,rep1	1.004	0.037	0.035	0.327	0.978	0	1.62633016095587	1.46388444285422	-0.211881810185789	-0.160451890187185	0.253664319096558	82.7051609990129	53.02321456287	3.27	2.13e-08	No	0	0	0	0	0
GSE10908	GSM276561.CEL	GSM276561	FVB_N,rep2	1.004	0.036	0.006	0.29	0.981	0	1.2610812295098	0.982753696400549	-0.2574224478118	-0.169829935295912	0.219095736683438	76.8515293012273	54.790359415534	3.4	5.37e-09	No	0	0	0	0	0
GSE10908	GSM276562.CEL	GSM276562	FVB_N,rep3	1.007	0.037	0.018	0.327	0.978	0	1.44865764708609	1.18214085459532	-0.166082691240861	-0.147334614666837	0.242072254631483	78.0851105006707	53.1606837985854	3.34	4.79e-09	No	0	0	0	0	0
GSE10908	GSM276563.CEL	GSM276563	ADAM10_APP,female,rep1	1.005	0.034	0	0.218	0.986	0	0.991553944319815	1.00868325286567	-0.255108060963069	-0.181895234956142	0.863735826058255	72.591839487893	49.9567637081218	2.96	1.72e-11	No	0	0	0	0	0
