Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE25926	GSM636860.CEL	GSM636860	WT_R6_rep1	0.997	0.027	0	0.153	0.996	0	0.753744771609306	0.710655444433161	-0.48774627659458	-0.279032754913235	0.433748197700498	41.4342463411293	55.5907851267156	3.16	7.4e-11	No	0	0	0	0	0
GSE25926	GSM636861.CEL	GSM636861	WT_R6_rep2	1	0.031	0	0.155	0.996	0	0.759212703571201	0.733612064773382	-0.483469006792681	-0.293485435364829	0.502896915217179	41.4307545375429	54.6595419170307	3.08	3.06e-10	No	0	0	0	0	0
GSE25926	GSM636862.CEL	GSM636862	WT_R6_rep3	0.999	0.028	0	0.157	0.996	0	0.714525342837339	0.709108444049956	-0.500405970393969	-0.278110347092893	0.463436032288603	41.2514315550722	55.3313673754462	3.21	7.34e-11	No	0	0	0	0	0
GSE25926	GSM636863.CEL	GSM636863	APP_R6_rep1	0.994	0.025	0	0.134	0.997	0	0.868617599272993	0.78232360962536	-0.413521249008882	-0.215322439081476	0.411697714076112	42.9346398803375	56.6484113434292	3.17	3.53e-10	No	0	0	0	0	0
GSE25926	GSM636864.CEL	GSM636864	APP_R6_rep2	0.998	0.028	0	0.149	0.997	0	0.609108433805282	0.568216605388997	-0.419267618278687	-0.258983886461417	0.437499534147628	41.7459566783024	57.3534954879049	3.17	1.49e-10	No	0	0	0	0	0
GSE25926	GSM636865.CEL	GSM636865	APP_R6_rep3	1	0.03	0	0.127	0.997	0	0.694927569158567	0.658234544869215	-0.487526562392882	-0.353138253254278	0.541107083019961	39.0954150784034	55.5841333895036	3.05	3.42e-09	No	0	0	0	0	0
GSE25926	GSM636866.CEL	GSM636866	APPsa_R6_rep1	1.004	0.034	0	0.158	0.996	0	0.628687547609275	0.554231184565062	-0.512012823474961	-0.278426845428195	0.509118572619351	42.3592286017113	54.5464623844261	3.16	2.14e-10	No	0	0	0	0	0
GSE25926	GSM636867.CEL	GSM636867	APPsa_R6_rep2	1.004	0.034	0.002	0.162	0.996	0	0.890164874972058	0.770383123063892	-0.414072912248214	-0.254513253860571	0.56119813438705	39.5590362468424	55.4289261878894	3.63	2.99e-11	No	0	0	0	0	0
GSE25926	GSM636868.CEL	GSM636868	APPsa_R6_rep3	1.005	0.034	0	0.154	0.996	0	0.91180571764364	0.873277289282857	-0.476635905894723	-0.298618287187917	0.590151618552912	39.1599790599811	55.3358018669209	3.51	1.48e-11	No	0	0	0	0	0
GSE25926	GSM636869.CEL	GSM636869	APLP2_R6_rep1	1	0.031	0	0.158	0.996	0	1.01906804359282	0.941801957601815	-0.416687952400197	-0.232080441793634	0.393231766833043	45.7622670487827	56.6528458349039	3.49	4.07e-11	No	0	0	0	0	0
GSE25926	GSM636870.CEL	GSM636870	APLP2_R6_rep2	0.998	0.028	0	0.145	0.996	0	0.781700019803344	0.736790676654435	-0.482156152979583	-0.299626892798805	0.481739542494317	43.3292400834648	56.4665971929669	3.33	4.24e-11	No	0	0	0	0	0
GSE25926	GSM636871.CEL	GSM636871	APLP2_R6_rep3	0.999	0.029	0	0.134	0.997	0	0.910560334989551	0.786727432329373	-0.405028954595132	-0.26989009569991	0.496664506388503	40.1405386657611	55.7149508880069	3.27	5.29e-10	No	0	0	0	0	0
GSE25926	GSM636872.CEL	GSM636872	APLP2_R1_rep1	1	0.03	0	0.14	0.996	0	0.726061516729692	0.652526261740084	-0.451309472912476	-0.310439030175752	0.514872820281228	41.3407333419602	55.4644021196869	3.13	7.3e-10	No	0	0	0	0	0
GSE25926	GSM636873.CEL	GSM636873	APLP2_R1_rep2	1.005	0.035	-0.002	0.211	0.995	0	1.08924576459412	0.935464552640704	-0.398257240771978	-0.259629025860063	0.518647535405746	40.4438924252138	56.4688144387042	3.48	1.1e-10	No	0	0	0	0	0
GSE25926	GSM636874.CEL	GSM636874	APLP2_R1_rep3	1	0.032	0	0.166	0.996	0	0.621698022575149	0.566222501010778	-0.470744462026296	-0.254580510929049	0.514980260719224	40.5672273273195	56.1317930866278	2.92	1.08e-09	No	0	0	0	0	0
