Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE13691.2	GSM344276.CEL	GSM344276	CA3_Ubb+1tg_270B	1.007	0.036	0.03	0.202	0.97	0	6.89338374807282	3.65177182249603	7.07508142927881	4.6725806910917	2.13694713822166	67.1492556252459	24.3809523809524	3.12	3.39e-09	No	1	0	0	0	1
GSE13691.2	GSM344278.CEL	GSM344278	CA3_Ubb+1tg_271B	1.114	0.094	0.001	0.428	0.957	2	3.5256266496352	2.12594451878921	3.30220847777227	1.06256188784574	1.93506015626443	147.224647631666	18.5071982281285	1.43	0.000215	No	1	0	1	1	3
GSE13691.2	GSM344279.CEL	GSM344279	CA3_Ubb+1tg_273B	0.998	0.025	0.013	0.177	0.977	0	4.82830293024375	2.42621856596388	4.44602261733611	1.08231099785362	2.49101297514298	59.5281781245884	25.1650055370986	2.41	1.37e-08	No	1	0	0	0	1
GSE13691.2	GSM344280.CEL	GSM344280	CA3_Ubb+1tg_274B	0.988	0.021	-0.02	0.159	0.977	0	5.01952026162219	2.41095491725368	3.80938984184932	0.67130934275934	1.40519796285978	72.4197948863596	27.6190476190476	2.57	8.93e-08	No	1	0	0	0	1
GSE13691.2	GSM344282.CEL	GSM344282	CA3_Ubb+1tg_276B	0.994	0.023	-0.023	0.183	0.975	0	4.84795306017724	2.24479449843417	3.61250961126535	0.720663494393929	1.91398276072556	68.2900622880898	26.4983388704319	2.39	4.02e-07	No	1	0	0	0	1
GSE13691.2	GSM344283.CEL	GSM344283	CA3_Ubb+1tg_277B	0.991	0.022	-0.04	0.195	0.972	0	5.18467844452995	2.41429942117771	3.506230786688	0.624112477832272	1.29771531671425	78.8547723605422	28.5492801771872	2.5	2.86e-07	No	1	0	0	0	1
GSE13691.2	GSM344287.CEL	GSM344287	CA3_wt_287B	1.058	0.065	0.014	0.352	0.963	1	2.77522888383554	2.06828940006094	2.28368923119221	0.619534965806627	2.91370195068958	85.2111228742513	20.9922480620155	1.97	2.65e-07	No	0	0	0	0	0
GSE13691.2	GSM344288.CEL	GSM344288	CA3_wt_289B	1.005	0.031	0.008	0.197	0.974	0	7.73571622025226	3.5597816070107	8.1862500199811	5.03082802048381	3.28109614176749	63.4724644689007	23.5924695459579	3.12	1.01e-08	No	1	0	0	0	1
GSE13691.2	GSM344289.CEL	GSM344289	CA3_wt_290B	0.998	0.024	0.012	0.19	0.974	0	2.82775316498505	1.7573101780303	1.98053446474325	0.571487475712791	2.67820681224794	65.6874779504165	23.7873754152824	2.27	6.47e-09	No	0	0	0	0	0
GSE13691.2	GSM344290.CEL	GSM344290	CA3_wt_291B	0.991	0.021	-0.001	0.163	0.977	0	5.11607550118264	2.48599439308208	3.52026311467525	0.834617022821952	1.77744162711444	67.376199146374	26.7906976744186	2.47	7.14e-08	No	1	0	0	0	1
GSE13691.2	GSM344292.CEL	GSM344292	CA3_wt_321B	0.997	0.024	0.001	0.173	0.976	0	4.77397287071445	2.86242219461023	3.81194897571671	0.795699679845013	2.08867550311286	72.0832193062107	25.1162790697674	2.4	1.07e-07	No	1	0	0	0	1
GSE13691.2	GSM344293.CEL	GSM344293	CA3_wt_331B	0.996	0.024	0.005	0.175	0.973	0	5.21584370624374	2.6269915369117	3.38626206165426	0.658443070149852	2.02751038165687	64.7119938026398	24.7397563676633	2.44	5.27e-08	No	1	0	0	0	1
