Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr_normalized	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE53480	GSM1294371_irs_ZE_8284_MA2_32018.CEL	GSM1294371	WT_TFEB_rep1	0.998	0.029	0.005	0.137	0.994	0	1.06535205804471	0.670449747448789	-0.115743058604837	0.137258570841839	0.439955212700089	53.0624696469622	54.6240659852331	4.51	2.55e-11	No	0	0	0	0	0
GSE53480	GSM1294372_irs_ZE_8284_MA2_32020.CEL	GSM1294372	Tg4510_TFEB_rep1	1.002	0.033	-0.009	0.188	0.992	0	1.1742061362543	0.73671207093526	-0.0491165079491758	0.234685753287337	0.431101431639916	54.29198930318	56.8767876543757	4.79	1.08e-11	No	0	0	0	0	0
GSE53480	GSM1294373_irs_ZE_8284_MA2_32021.CEL	GSM1294373	Tg4510_TFEB_rep2	0.997	0.027	0.003	0.13	0.995	0	1.10084031588951	0.700317597497689	-0.0497730172626802	0.183635025858834	0.414735159041541	54.3160287930289	55.8235959291368	4.55	2.37e-11	No	0	0	0	0	0
GSE53480	GSM1294374_irs_ZE_8284_MA2_32022.CEL	GSM1294374	Tg4510_rep1	0.995	0.026	0.003	0.134	0.995	0	0.991784155203092	0.659960819643848	-0.132220097723398	0.137493291269749	0.39894339214989	55.209228005526	55.612957584089	4.49	1.61e-11	No	0	0	0	0	0
GSE53480	GSM1294375_irs_ZE_8284_MA2_32023.CEL	GSM1294375	Tg4510_TFEB_rep3	0.996	0.026	0	0.124	0.995	0	1.03271480091892	0.654972568318884	-0.16535787814041	0.0932940068223171	0.405066072757557	54.8374528368704	56.1539655440012	4.57	3.96e-12	No	0	0	0	0	0
GSE53480	GSM1294376_irs_ZE_8284_MA2_32024.CEL	GSM1294376	WT_TFEB_rep2	1.008	0.036	0.017	0.181	0.993	0	1.05051631649616	0.716182760025765	-0.25820634313683	0.0485939212159607	0.490724589870164	48.863326413247	53.3890601095319	4.36	6.46e-12	No	0	0	0	0	0
GSE53480	GSM1294377_irs_ZE_8284_MA2_32025.CEL	GSM1294377	WT_TFEB_rep3	1.001	0.032	0.007	0.163	0.994	0	1.2064532897917	0.792020057881455	-0.0317885657428114	0.155257983119499	0.475863945354866	53.4330970103919	54.8524422961797	4.54	3.44e-11	No	0	0	0	0	0
GSE53480	GSM1294378_irs_ZE_8284_MA2_32160.CEL	GSM1294378	Tg4510_TFEB_rep4	1.001	0.03	0.007	0.152	0.995	0	1.06120980757848	0.673845636074949	-0.119399238585988	0.12276479629605	0.424240501406239	56.4192426415668	54.5686348417995	4.51	4.05e-12	No	0	0	0	0	0
GSE53480	GSM1294379_irs_ZE_8284_MA2_31974.CEL	GSM1294379	Tg4510_rep2	1.01	0.04	-0.027	0.209	0.992	0	0.908781068963778	0.646880633540311	-0.173396674528691	0.177535306436269	0.44172214789837	46.8192711913913	58.5596771690206	4.65	8.01e-12	No	0	0	0	0	0
GSE53480	GSM1294380_irs_ZE_8284_MA2_31975.CEL	GSM1294380	WT_rep1	1.001	0.033	-0.014	0.177	0.992	0	0.917456925590939	0.580207468119772	-0.129293522392372	0.126739873836669	0.43377054699041	52.0933465263744	56.7282321899736	4.59	3.05e-11	No	0	0	0	0	0
GSE53480	GSM1294381_irs_ZE_8284_MA2_31976.CEL	GSM1294381	WT_rep2	0.999	0.03	-0.008	0.16	0.994	0	1.07035057920907	0.681673626006678	-0.106361058927941	0.164040028093469	0.441799502881472	56.0182065409691	56.4089488037959	4.73	1.17e-11	No	0	0	0	0	0
GSE53480	GSM1294382_irs_ZE_8284_MA2_31978.CEL	GSM1294382	Tg4510_rep3	1.001	0.031	-0.013	0.161	0.994	0	1.15309201558743	0.738021920145341	-0.0473693295591993	0.131391995752564	0.454810167575032	57.0833443811742	56.8435289683156	4.67	9.8e-12	No	0	0	0	0	0
GSE53480	GSM1294383_irs_ZE_8284_MA2_31979.CEL	GSM1294383	Tg4510_rep4	0.999	0.028	0.003	0.151	0.994	0	0.913503668314805	0.619326734544549	-0.217807004361802	0.0516684137128873	0.417196005583709	52.5328835361105	55.5708299150795	4.36	5.05e-11	No	0	0	0	0	0
GSE53480	GSM1294384_irs_ZE_8284_MA2_31980.CEL	GSM1294384	WT_TFEB_rep4	1	0.031	-0.006	0.141	0.994	0	1.10997582351571	0.695045964289637	-0.0973065113636675	0.126180732469429	0.415317320316045	53.8167051362224	56.4510764728055	4.62	7.97e-12	No	0	0	0	0	0
GSE53480	GSM1294385_irs_ZE_8284_MA2_31981.CEL	GSM1294385	WT_rep3	1	0.029	0.011	0.15	0.995	0	0.897617706545955	0.61083047036978	-0.203338242079417	0.0551896214891237	0.394085909890046	52.3347160166672	55.0386909381167	4.38	7.85e-12	No	0	0	0	0	0
GSE53480	GSM1294386_irs_ZE_8284_MA2_31982.CEL	GSM1294386	WT_rep4	0.998	0.029	0.005	0.144	0.995	0	1.08063876926171	0.700407417969474	-0.142770630301106	0.0685041006362788	0.441029839678916	51.8370531216169	55.6972129221082	4.53	2.36e-11	No	0	0	0	0	0
