Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE36237	GSM884874_M_HIPP_TREAT_9I_TG_+_ID_11.CEL	GSM884874	HippPDE9Tg+,rep1	0.999	0.033	-0.001	0.287	0.982	0	0.493926250900547	0.331056544997058	-0.403638243924714	-0.207726622271716	0.371506264122781	50.9997721869772	59.7326001640762	2.21	7.66e-07	No	0	0	0	0	0
GSE36237	GSM884875_M_HIPP_TREAT_9I_TG_+_ID_12.CEL	GSM884875	HippPDE9Tg+,rep2	1.003	0.034	0.002	0.251	0.986	0	0.422839534586139	0.34448966278546	-0.493098115095227	-0.264672099891323	0.56193312369886	48.159674522756	58.9831711048536	2.21	5.85e-07	No	0	0	0	0	0
GSE36237	GSM884876_M_HIPP_TREAT_9I_TG_+_ID_27.CEL	GSM884876	HippPDE9Tg+,rep3	1.003	0.034	0.008	0.231	0.987	0	0.419319369359652	0.287051760220693	-0.445177010856254	-0.257412388880971	0.488990006900829	55.1915975155368	57.187202057604	2.16	5.7e-07	No	0	0	0	0	0
GSE36237	GSM884877_M_HIPP_TREAT_9I_TG_+_ID_74.CEL	GSM884877	HippPDE9Tg+,rep4	0.996	0.028	0.015	0.288	0.983	0	0.436274610369209	0.34199099232023	-0.426289493551298	-0.274500935144625	0.462935163859479	49.0733993633561	56.8435289683156	2.08	4.82e-07	No	0	0	0	0	0
GSE36237	GSM884878_M_HIPP_TREAT_9I_TG_+_ID_75.CEL	GSM884878	HippPDE9Tg+,rep5	1	0.031	0.002	0.258	0.988	0	0.351983289378479	0.253478525180608	-0.508529068818609	-0.355001948127427	0.462575177517765	45.5069796471052	62.0141460278043	2.13	8.43e-07	No	0	0	0	0	0
GSE36237	GSM884879_M_HIPP_TREAT_9I_TG_+_ID_76.CEL	GSM884879	HippPDE9Tg+,rep6	1.002	0.033	-0.003	0.315	0.983	0	0.540875515345704	0.334523727330561	-0.301225500664588	-0.218138226213286	0.501849450213115	42.729296230575	61.6970798873639	2.97	3.74e-08	No	0	0	0	0	0
GSE36237	GSM884880_M_HIPP_TREAT_9I_TG_+_ID_78.CEL	GSM884880	HippPDE9Tg+,rep7	0.995	0.026	-0.012	0.25	0.986	0	0.417091146590218	0.320415391212959	-0.487750834935422	-0.272645777474665	0.33449227869829	49.3581087719876	62.3733398372542	2.21	4.92e-07	No	0	0	0	0	0
GSE36237	GSM884881_M_HIPP_TREAT_9I_TG_+_ID_9.CEL	GSM884881	HippPDE9Tg+,rep8	0.994	0.026	0.001	0.202	0.989	0	0.399349409288009	0.319416814659078	-0.442525699010202	-0.259271012060687	0.390006069380707	56.5884024550124	58.8346156404514	2.28	3.56e-07	No	0	0	0	0	0
GSE36237	GSM884882_M_HIPP_TREAT_9I_TG_-_ID_13.CEL	GSM884882	HippPDE9Tg.,rep1	0.987	0.021	-0.001	0.178	0.989	0	0.461746221251067	0.352260197201215	-0.435265218657181	-0.279756440789994	0.359484286028139	53.9551274128961	59.7170794439148	2.37	1.48e-07	No	0	0	0	0	0
GSE36237	GSM884883_M_HIPP_TREAT_9I_TG_-_ID_16.CEL	GSM884883	HippPDE9Tg.,rep2	0.988	0.022	-0.013	0.214	0.987	0	0.400113330387088	0.352720147686421	-0.475949957277498	-0.260323640218532	0.353797933432371	61.6835352530664	60.7525332032549	2.53	2.97e-08	No	0	0	0	0	0
