# taken from table S3(late: mouse R6/2 12W)
# the order is the rank order: of the top 50 up and top 50 down
Order	phase	ProbeName	change	regulation	geneSymbol
1	late	1422609_at	-1.968	down	Arpp19
2	late	1439332_at	-2.192	down	Ddit4l
3	late	1452135_at	-2.849	down	Gpx6
4	late	1429122_a_at	-1.493	down	Pradc1
5	late	1436013_at	-1.603	down	Gsg1l
6	late	1424248_at	-1.101	down	Arpp21
7	late	1427038_at	-1.725	down	Penk
8	late	1451008_at	-1.05	down	St8sia3
9	late	1439854_at	-1.671	down	Hrk
10	late	1419390_at	-2.064	down	Pde10a
11	late	1427306_at	-3.054	down	Ryr1
12	late	1434008_at	-2.684	down	Scn4b
13	late	1422706_at	-1.168	down	Pmepa1
14	late	1418349_at	-1.074	down	Hbegf
15	late	1416286_at	-1.431	down	Rgs4
16	late	1423285_at	-1.424	down	Coch
17	late	1421037_at	-1.329	down	Npas2
18	late	1428937_at	-0.855	down	Atp2b1
19	late	1455629_at	-1.566	down	Drd1
20	late	1420377_at	-1.847	down	St8sia2
21	late	1422605_at	-0.848	down	Ppp1r1a
22	late	1428535_at	-1.137	down	9430020K01Rik
23	late	1422293_a_at	-0.951	down	Kctd1
24	late	1434172_at	-1.73	down	Cnr1
25	late	1424379_at	-1.23	down	Car11
26	late	1437363_at	-0.858	down	Homer1
27	late	1421114_a_at	-1.922	down	Epyc
28	late	1439434_x_at	-1.034	down	Sh2d5
29	late	1449980_a_at	-1.241	down	Gabrd
30	late	1455883_a_at	-0.997	down	Lrrtm1
31	late	1453412_a_at	-0.991	down	Sec14l1
32	late	1424474_a_at	-0.942	down	Camkk2
33	late	1434458_at	-1.467	down	Fst
34	late	1419224_at	-0.956	down	Cecr6
35	late	1460710_at	-1.912	down	Adora2a
36	late	1457683_at	-1.208	down	Grik2
37	late	1439843_at	-1.099	down	Camk4
38	late	1456280_at	-1.531	down	Clspn
39	late	1422068_at	-0.94	down	Pou3f1
40	late	1424037_at	-0.966	down	Itpka
41	late	1454832_at	-1.095	down	Phactr1
42	late	1434648_a_at	-1.046	down	Ccm2
43	late	1417283_at	-0.806	down	Lynx1
44	late	1434967_at	-1.057	down	Zswim6
45	late	1420418_at	-1.261	down	Syt2
46	late	1434735_at	-0.854	down	Hlf
47	late	1436787_x_at	-2.16	down	Sec14l3
48	late	1449319_at	-2.237	down	Rspo1
49	late	1423186_at	-0.888	down	Tiam2
50	late	1434052_at	-0.951	down	AI593442
1	late	1434073_at	1.197	up	Gprasp2
2	late	1417786_a_at	1.14	up	Rgs19
3	late	1437360_at	1.229	up	Pcdh19
4	late	1455940_x_at	0.894	up	Wdr6
5	late	1419509_a_at	0.802	up	Nagk
6	late	1434353_at	2.281	up	Sfmbt2
7	late	1434637_x_at	0.912	up	Sin3b
8	late	1441989_at	1.02	up	Bnip2
9	late	1446215_at	1.598	up	Zfhx2os
10	late	1452560_a_at	0.869	up	Nfya
11	late	1417428_at	0.901	up	Gng3
12	late	1426293_at	0.795	up	Zfp790
13	late	1448350_at	1.009	up	Asl
14	late	1448321_at	1.205	up	Smoc1
15	late	1435280_at	0.771	up	Pde4d
16	late	1417146_at	1.005	up	Mri1
17	late	1442379_at	1.395	up	Fam196b
18	late	1452959_a_at	1.271	up	Capn10
19	late	1448497_at	0.709	up	Ercc3
20	late	1421292_a_at	0.588	up	Nelfb
21	late	1454643_at	0.863	up	Ubap2l
22	late	1418933_at	1.113	up	Slc1a6
23	late	1417943_at	1.609	up	Gng4
24	late	1424455_at	0.496	up	Gprasp1
25	late	1417056_at	0.621	up	Psme1
26	late	1454613_at	0.707	up	Dpysl3
27	late	1453554_a_at	0.734	up	Wdr33
28	late	1434105_at	0.607	up	Epm2aip1
29	late	1433434_at	1.924	up	AW551984
30	late	1435964_a_at	0.745	up	Taok3
31	late	1433672_at	1.288	up	Trmt2b
32	late	1426774_at	0.882	up	Parp12
33	late	1436429_at	0.752	up	Zfp606
34	late	1460549_a_at	0.83	up	Cdc23
35	late	1420422_at	0.761	up	Pcdhb21
36	late	1424482_at	0.819	up	Arhgef7
37	late	1435160_at	0.892	up	Ahsa2
38	late	1424701_at	1.046	up	Pcdh20
39	late	1425937_a_at	0.345	up	Hexim1
40	late	1454807_a_at	0.601	up	Snx12
41	late	1418726_a_at	1.043	up	Tnnt2
42	late	1424760_a_at	1.093	up	Smyd2
43	late	1451413_at	0.87	up	Cast
44	late	1416179_a_at	0.449	up	Rdx
45	late	1427382_a_at	0.52	up	Suv39h1
46	late	1433478_at	0.428	up	Parl
47	late	1434076_at	0.514	up	Wdr37
48	late	1424291_at	0.468	up	Nup93
49	late	1417094_at	0.535	up	Acot7
50	late	1448963_at	0.475	up	Nfyc
