geneSymbol	pvalue_adj	Rank	regulation	GSE14499	GSE15056	GSE1556	GSE50521	GSE52022	GSE63617	GSE64398	total_studies
Man2b1	0.00169217194346631	1	up				up				1
Idh1	0.00633090837290209	2	up								0
Cd68	0.00579293360949636	3	up				up				1
Msmo1	0.000469678254596663	4	up								0
Sqle	0.00579293360949636	5	up	up							1
Nsdhl	0.0314391739935396	6	up	up							1
Fdps	0.0415919777074135	7	up	up		up					2
Cidea	0.00480185476002901	8	up								0
Wdr82	0.00695398056674256	9	up				no expression			no expression	0
Trem2	0.0567331510654059	10	up			no expression	up			up	2
Reep1	0.0415919777074135	11	up								0
Slc22a4	0.063165485909105	12	up			no expression					0
Thy1	0.00579293360949636	13	up	up							1
Slc14a1	0.055146709473592	14	up			no expression	up				1
Twsg1	0.0652207425528298	15	up								0
Tpst1	0.0755557790393729	16	up								0
Brix1	0.0727232331488867	17	up								0
Fahd1	0.0725374985996843	18	up								0
Tyrobp	0.0652207425528298	19	up				up				1
0610007P14Rik	0.0652207425528298	20	up								0
Rab6a	0.0771732478024701	21	up			up					1
Syap1	0.0725374985996843	22	up								0
Fbxo21	0.0891890982007083	23	up								0
Kctd6	0.135533389531761	24	up								0
Gtf2e1	0.133179345118174	25	up								0
Ufsp1	0.0737702765446695	26	up								0
Polr2h	0.134544930787244	27	up								0
Arcn1	0.0657489397065913	28	up								0
Cntn1	0.114646696078347	29	up								0
C1qa	0.0693119005154314	30	up				up				1
Stambpl1	0.0809638291064032	31	up								0
Amph	0.063165485909105	32	up								0
Ttc39c	0.063165485909105	33	up								0
Zswim7	0.145846067209558	34	up								0
Mvk	0.0837910370409288	35	up								0
Hmgcs1	0.0725374985996843	36	up	up							1
Ostm1	0.102599295832349	37	up								0
Zfp655	0.114646696078347	38.5	up								0
Smyd4	0.0809638291064032	38.5	up								0
Fam210b	0.17953879018668	40	up								0
Cpne7	0.1673436897859	41	up								0
Nipsnap3b	0.142636465725998	42	up								0
Telo2	0.174418076929017	43	up								0
Spryd7	0.172836430305478	44	up								0
Fam13c	0.161837030821493	45	up								0
Phospho2	0.162552027680399	46	up								0
Glrx	0.156568194543182	47	up								0
Zbtb8b	0.0603025006195149	48	up								0
Fam155a	0.0727232331488867	49	up								0
Gpr22	0.0669142892164605	50	up								0
Inppl1	0.00800160901974558	1	down								0
Vars2	0.0119082943204643	2	down			no expression					0
Map3k5	0.0415919777074135	3	down							no expression	0
Gucy1a3	0.0547379215894823	4	down			no expression					0
Sema5b	0.063165485909105	5	down								0
Camkk2	0.0725374985996843	6	down			no expression					0
Crybb1	0.063165485909105	7	down			no expression					0
Atrnl1	0.0415919777074135	8	down			no expression				no expression	0
Sppl2b	0.0652207425528298	9	down								0
Sfxn1	0.0652207425528298	10	down								0
Matn4	0.0837910370409288	11	down								0
Meis2	0.0727232331488867	12	down								0
Galt	0.0837910370409288	13	down								0
Smagp	0.063165485909105	14	down				no expression				0
Mfge8	0.0652207425528298	15	down								0
Fzd9	0.0725374985996843	16	down				no expression			no expression	0
Arhgef19	0.0837910370409288	17	down			no expression					0
Ang	0.0694329967863561	18	down				no expression				0
Cox8a	0.0727232331488867	19	down			no expression	no expression				0
Pdyn	0.0547379215894823	20	down								0
Slc1a3	0.063165485909105	21	down								0
Extl3	0.105043169131445	22	down								0
Il17d	0.0727232331488867	23	down								0
Fam120a	0.0837910370409288	24	down								0
Ptprd	0.129758346782531	25	down								0
Atp1a2	0.0727232331488867	26	down								0
Fam163a	0.147481931534278	27	down								0
Vcp	0.159603011441004	28	down								0
Nrxn3	0.0725374985996843	29	down								0
Parp14	0.160473100377957	30	down								0
Cadm4	0.145846067209558	31	down								0
Fstl4	0.16181974541618	32	down								0
Stt3b	0.114646696078347	33	down								0
Trmt1	0.140870978490048	34	down								0
Gpt	0.168840236680857	35	down								0
Phactr1	0.186702968019628	36	down	down							1
Bub1b	0.20283358106432	37	down								0
Uaca	0.15931654341869	38	down								0
Tap2	0.162259284192156	39	down								0
Ddx17	0.148305480464047	40	down								0
Dus1l	0.161837030821493	41	down								0
Pramef8	0.156568194543182	42	down								0
Cdh4	0.134544930787244	43	down								0
Dot1l	0.156568194543182	44	down								0
Tmem248	0.0837910370409288	45	down								0
Lrrk1	0.148305480464047	46	down								0
Hspb11	0.163483840922943	47	down								0
Tjap1	0.163483840922943	48	down								0
Slc12a6	0.114646696078347	49	down								0
Ift27	0.0989112730923268	50	down								0
NA	NA	NA	NA	141	8	88	88	10	12	24	NA
