geneSymbol	pvalue_adj	Rank	regulation	GSE48622	GSE63617	total_studies
Sqle	0.0117703099682537	1	up			0
Msmo1	0.0117703099682537	2	up			0
Nsdhl	0.0401697570327291	3	up			0
Ring1	0.00474777227368564	4	up			0
Selenoh	0.0677134605162266	5	up			0
Prokr2	0.0891301170364292	6	up			0
Bdh2	0.040534413778312	7.5	up			0
Etnk1	0.0879442853360924	7.5	up			0
Zfp330	0.0117703099682537	9	up			0
Tecr	0.17092259534568	10	up			0
Enkur	0.147881059336088	11	up			0
Gm5617	0.0802101013765967	12	up			0
Slc29a1	0.0891301170364292	13	up			0
C1qb	0.11754866527256	14	up			0
Acat2	0.137905881010503	15	up		no expression	0
Fam229b	0.111537640761559	16	up			0
Cdhr1	0.0620009992122093	17	up			0
Ube2b	0.18537440615953	18	up			0
Dynlrb1	0.18537440615953	19	up			0
Dbnl	0.222372076383015	20	up			0
Ttyh2	0.0365544609517773	1	down			0
Irgm2	0.0183185160483153	2	down			0
Arap3	0.130059539111024	3	down			0
Ddit3	0.111537640761559	4	down			0
Entpd4	0.0884157907131133	5	down			0
Ecd	0.147881059336088	6	down			0
Eef2	0.20518576403029	7	down			0
Slc7a5	0.222372076383015	8	down			0
Nkain2	0.212331983717009	9	down			0
Tap2	0.228146277725037	10	down			0
Gm15631	0.222372076383015	11	down			0
Ica1	0.212331983717009	12	down			0
Knop1	0.222372076383015	13	down			0
Orc2	0.30327363497464	14	down			0
Tmem248	0.124179078845733	15	down			0
Psmd13	0.259282464927678	16	down			0
B3gat3	0.222372076383015	17	down			0
Nmb	0.289842982995759	18	down			0
Wbp11	0.125526872998353	19	down			0
Sema4b	0.222372076383015	20	down			0
NA	NA	NA	NA	29	12	NA
