Astrocyte	DentateGranule	GabaSSTReln	Microglia	Microglia_activation	Microglia_deactivation	Oligo	Pyramidal.Thy1.Hipp	Pyramidal	groups
GSE14499_Hippocampus,GFP,rep1	1.62196828680349	1.51715383105645	-1.30559156881709	4.99852692391493	4.57911416943429	4.6503942244817	0.788390137021222	0.1621781053709	0.1621781053709	WT
GSE14499_Hippocampus,GFP,rep2	-0.251414483905587	0.069076739119647	0.879223706849508	-0.232334861420905	-0.900867062535291	-1.29093147891249	-2.74369330582368	2.7130514343866	2.7130514343866	WT
GSE14499_Hippocampus,APP,GFP,rep1	0.296338419741581	0.248766162124428	0.21494638495993	-0.417444606574835	1.21969801898148	-0.246235779143218	-4.07071714449838	-0.158778185027637	-0.158778185027637	Disease
GSE14499_Hippocampus,APP,GFP,rep2	3.59384015221583	1.15874023556348	-2.21468491958866	5.09364866079299	2.60378066359332	4.11499214903504	0.413780470298247	-2.35874204813986	-2.35874204813986	Disease
GSE14499_Hippocampus,APP,GFP,rep3	-0.700703496799201	-1.26756109150309	-0.217763142927715	0.876889858634829	0.123337420203427	1.78652342989971	2.19891223919517	-1.41452144443599	-1.41452144443599	Disease
GSE14499_Hippocampus,APP,GFP,rep4	-1.92370157539942	-2.44157892354274	2.33120315525495	-4.57873867344213	-3.52772920724859	-4.47403213423374	3.66424107015843	-0.00991840382930045	-0.00991840382930045	Disease
GSE15056_wt_rep1	0.188752272595817	-0.738807195315324	1.911993929627	-1.289208294784	-0.893970586278829	-1.10468877725658	0.708696571573721	0.458729090134738	0.458729090134738	WT
GSE15056_wt_rep2	-0.181414213063817	0.834778339562088	-2.66564370042907	-2.84726588289674	-1.38136661722901	-2.13453643981724	0.020863973716915	-0.0375647337591588	-0.0375647337591588	WT
GSE15056_Tg2576_rep1	-1.84297787733847	0.963523925412475	-0.253498445383494	0.338618285653754	0.299246474075289	0.834943127099035	-3.40754346488961	-0.0868596811790337	-0.0868596811790337	Disease
GSE15056_Tg2576_rep2	1.78524373915318	-0.43162983307744	1.13928847074742	3.11918860816082	1.24326128250971	1.94156506244133	1.5011959786476	-1.2016027592967	-1.2016027592967	Disease
GSE1556_12moControl.1	0.509681354785352	2.42593433408402	-1.34292840269572	-0.298829017473308	-0.229666483997149	-1.54826218023575	-0.936226948165235	-3.10119400356399	-3.10119400356399	WT
GSE1556_12moControl.2	3.44015862879794	-0.59762985212133	-1.1202919231298	-1.1675626146655	-2.16670916349829	-1.10471348320239	4.39585078539403	-0.196103219400676	-0.196103219400676	WT
GSE1556_12moAPPSw.1	-0.796395301917988	-1.76538671930986	-2.06464717751518	0.149089968269935	-0.0548840449477884	0.797668585353693	1.03876034822107	0.364152012649067	0.364152012649067	Disease
GSE1556_12moAPPSw.2	-4.91095507204878	-1.06629594390605	3.93818811892833	-1.35712761682338	-0.132687355390755	-0.19766112666998	-5.16413524475923	2.01908776219475	2.01908776219475	Disease
GSE50521_eIF2+_S51A1	-3.74541358974272	1.01152824748663	-1.1578589532866	-7.94278363734493	-4.61948460252806	-6.72741051943371	-1.71124804387035	1.30328466409132	1.30328466409132	WT
GSE50521_eIF2+_S51A2	-4.7468305937234	-0.831443391091295	0.785188182232022	-8.7476062286052	-5.91992822456679	-6.49528603703172	0.698428382210226	0.468627178769573	0.468627178769573	WT
GSE50521_eIF2+_S51A3	-5.65181959671637	1.91782957234511	1.97964149988554	-6.56663130072748	-4.53253496945426	-6.171147722496	-1.65160913658137	1.91247957925439	1.91247957925439	WT
GSE50521_WT1	-4.47905073665952	0.553242684366431	-0.858330154013882	-7.17916435073583	-4.50837194489352	-5.59760350216943	-1.27588553684783	0.658497119692198	0.658497119692198	WT
GSE50521_WT2	-4.49977554983865	1.91585009814972	1.2679947324886	-9.13088247402747	-6.14888587321974	-7.31729932882076	-4.66536904359884	0.617269333458501	0.617269333458501	WT
GSE50521_WT3	-5.51114310575402	1.53989681299611	2.43397327721569	-9.62253099244626	-5.72563825946141	-6.83671846179717	-3.4998328814382	1.30685578324137	1.30685578324137	WT
GSE50521_5xFAD;eIF2+_S51A1	5.05878124356835	-1.68371499305052	-0.312968452994906	6.91558767088158	5.17035536579784	5.96649333180242	0.616936796020612	-0.372631732184111	-0.372631732184111	Disease
GSE50521_5xFAD;eIF2+_S51A2	2.51572760678402	0.7048852653463	-0.250069019624522	7.80181144001873	5.09263202213007	5.69417771130182	-1.14878702320361	-1.6523830460667	-1.6523830460667	Disease
GSE50521_5xFAD;eIF2+_S51A3	6.52944808864684	-0.33407846193231	-2.2735497319011	10.6191538589399	7.71152020512228	7.97497141864256	4.34153618611231	-1.11022393904161	-1.11022393904161	Disease
GSE50521_5xFAD1	3.69838377778989	-2.0327208595117	-0.0269389215485847	7.0173518461854	2.62269312541442	5.20403612947059	4.69842721403698	-0.000452437606895521	-0.000452437606895521	Disease
GSE50521_5xFAD2	7.33520340404914	-2.14188627103744	-1.52801152629848	9.12465725900118	5.710258158099	7.34394007122598	2.31242476721158	-0.794426834247711	-0.794426834247711	Disease
GSE50521_5xFAD3	2.26394689749495	-0.0162510857475866	-0.108215281242525	5.34980561363301	3.10945325223367	4.20455145034804	1.59263048032789	-0.216612265380936	-0.216612265380936	Disease
GSE52022_4mon_WT_rep1	0.910169531479542	1.09620022161975	3.8020686497822	-1.95854337576994	-0.173759546400317	-2.09910998973731	2.29055711235892	1.06575535941202	1.06575535941202	WT
