Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
AD	late phase: up-regulated	Cd68	CD68 antigen	1.84e-15	0e+00	1.4452	0.153
		Man2b1	mannosidase 2, alpha B1	2.61e-15	0e+00	0.6484	0.0693
		Trem2	triggering receptor expressed on myeloid cells 2	5.25e-15	0e+00	1.5212	0.1634
		Tyrobp	TYRO protein tyrosine kinase binding protein	1.85e-14	0e+00	1.308	0.1455
		C1qb	complement component 1, q subcomponent, beta polypeptide	1.99e-14	0e+00	1.1534	0.1288
		C1qa	complement component 1, q subcomponent, alpha polypeptide	3.19e-14	0e+00	1.2214	0.1378
		Ly86	lymphocyte antigen 86	1.68e-13	0e+00	1.1052	0.1296
		Thy1	thymus cell antigen 1, theta	2.07e-13	0e+00	0.513	0.0605
		Cd14	CD14 antigen	3.21e-13	0e+00	0.8434	0.1003
		Fcgr3	Fc receptor, IgG, low affinity III	6.10e-13	0e+00	1.0116	0.1208
		Ctsz	cathepsin Z	6.81e-13	0e+00	0.909	0.1101
		Grn	granulin	7.03e-13	0e+00	0.6889	0.0835
		Irf8	interferon regulatory factor 8	1.21e-12	0e+00	0.8907	0.1096
		C1qc	complement component 1, q subcomponent, C chain	1.55e-12	0e+00	1.1731	0.1452
		Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1.64e-12	0e+00	1.0356	0.1285
		Gusb	glucuronidase, beta	1.80e-12	0e+00	0.7145	0.0887
		Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	2.61e-12	0e+00	0.9961	0.1248
		Msmo1	methylsterol monoxygenase 1	3.35e-12	0e+00	0.3238	0.0408
		Cd52	CD52 antigen	4.60e-12	0e+00	1.253	0.1595
		Plek	pleckstrin	4.70e-12	0e+00	0.9644	0.1222
		Lgmn	legumain	4.76e-12	0e+00	0.4156	0.0529
		Gfap	glial fibrillary acidic protein	6.26e-12	0e+00	1.1727	0.1505
		Sqle	squalene epoxidase	6.33e-12	0e+00	0.3544	0.0455
		Gpr84	G protein-coupled receptor 84	7.09e-12	0e+00	0.9747	0.1251
		Slc22a4	solute carrier family 22 (organic cation transporter), member 4	1.40e-11	0e+00	0.4683	0.061
		Olfml3	olfactomedin-like 3	1.53e-11	0e+00	0.6826	0.0893
		Hexa	hexosaminidase A	2.03e-11	0e+00	0.5207	0.0689
		Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	3.85e-11	0e+00	0.2823	0.038
		Ctss	cathepsin S	5.04e-11	0e+00	0.9189	0.1247
		Tgfbr2	transforming growth factor, beta receptor II	6.37e-11	0e+00	0.6567	0.0895
		Laptm5	lysosomal-associated protein transmembrane 5	8.01e-11	0e+00	0.8254	0.1135
		Slc14a1	solute carrier family 14 (urea transporter), member 1	8.41e-11	0e+00	0.6922	0.0948
		Lsp1	lymphocyte specific 1	8.68e-11	0e+00	0.624	0.086
		Slc15a3	solute carrier family 15, member 3	1.24e-10	0e+00	0.8716	0.121
		Tgfbr1	transforming growth factor, beta receptor I	1.25e-10	0e+00	0.4584	0.0638
		Slamf9	SLAM family member 9	1.53e-10	0e+00	0.8983	0.1255
		Anxa3	annexin A3	1.55e-10	0e+00	0.6959	0.0974
		Tlr2	toll-like receptor 2	1.65e-10	0e+00	0.9707	0.1358
		Siglech	sialic acid binding Ig-like lectin H	1.65e-10	0e+00	0.5825	0.0815
		Unc93b1	unc-93 homolog B1 (C. elegans)	1.91e-10	0e+00	0.5371	0.0757
		Hexb	hexosaminidase B	1.97e-10	0e+00	0.701	0.0985
		Lag3	lymphocyte-activation gene 3	2.10e-10	0e+00	0.8189	0.1159
		Havcr2	hepatitis A virus cellular receptor 2	2.20e-10	0e+00	0.7109	0.1001
		Ifngr1	interferon gamma receptor 1	2.51e-10	0e+00	0.2958	0.042
		Ctsh	cathepsin H	2.61e-10	0e+00	0.7862	0.1118
		Pik3cg	phosphoinositide-3-kinase, catalytic, gamma polypeptide	2.92e-10	0e+00	0.5812	0.0827
		Ctsa	cathepsin A	3.15e-10	0e+00	0.3468	0.0496
		Hvcn1	hydrogen voltage-gated channel 1	3.32e-10	0e+00	0.8138	0.1164
		Ccl4	chemokine (C-C motif) ligand 4	3.47e-10	0e+00	1.2918	0.1858
		Fcrls	Fc receptor-like S, scavenger receptor	3.53e-10	0e+00	0.7732	0.1105
	late phase: down-regulated	Crhbp	corticotropin releasing hormone binding protein	9.30e-10	0e+00	-0.6302	0.0929
		Fam163a	family with sequence similarity 163, member A	4.03e-09	0e+00	-0.4247	0.0657
		Cort	cortistatin	1.95e-08	0e+00	-0.7154	0.1172
